RunId,iteration,Step,data_type,prob_new_patient,isolation_factor,cleaningDay,hcw_wash_rate,isolation_time,height,width,prob_transmission,HCW_related_infecs
1,0,1477440,A,0.003,0.75,180,0.9,14,11,32,0.015,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,0,1477440,A,0.003,0.75,180,0.9,14,11,32,0.055,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,0,1477440,A,0.003,0.75,180,0.9,14,11,32,0.02,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,1,1477440,A,0.003,0.75,180,0.9,14,11,32,0.11,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 14, 12, 0, 0, 0, 0, 0, 0, 0]"
27,0,1477440,A,0.003,0.75,180,0.9,14,11,32,0.15,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 51, 27, 54, 69, 69, 57, 64, 51]"
43,1,1477440,A,0.003,0.75,180,0.9,14,11,32,0.08,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0]"
19,0,1477440,A,0.003,0.75,180,0.9,14,11,32,0.11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,0,1477440,A,0.003,0.75,180,0.9,14,11,32,0.12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,0,1477440,A,0.003,0.75,180,0.9,14,11,32,0.045,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,0,1477440,A,0.003,0.75,180,0.9,14,11,32,0.065,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 5, 4, 0, 0, 4, 3, 1, 6, 0]"
12,0,1477440,A,0.003,0.75,180,0.9,14,11,32,0.075,"[0, 0, 3, 4, 7, 6, 4, 3, 9, 5, 7, 12, 0, 0, 0, 0, 0, 0, 0]"
23,0,1477440,A,0.003,0.75,180,0.9,14,11,32,0.13,"[0, 0, 0, 0, 9, 10, 1, 10, 42, 56, 38, 56, 26, 43, 50, 60, 65, 63, 52]"
48,1,1477440,A,0.003,0.75,180,0.9,14,11,32,0.105,"[0, 0, 2, 6, 11, 22, 8, 25, 39, 49, 29, 50, 20, 42, 36, 51, 45, 46, 22]"
