RunId,iteration,Step,data_type,prob_new_patient,isolation_factor,cleaningDay,hcw_wash_rate,isolation_time,height,width,prob_transmission,HCW_related_infecs
665,26,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.085,"[0, 0, 0, 0, 0, 0, 2, 15, 19, 21, 22, 24, 5, 22, 23, 21, 18, 19, 10, 19, 27, 28, 29, 21, 13, 26, 22, 34, 26, 18]"
675,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
676,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.015,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
677,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.02,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
678,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.025,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
667,26,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.095,"[0, 0, 1, 16, 33, 31, 17, 27, 22, 19, 32, 30, 12, 22, 27, 26, 28, 22, 11, 22, 19, 23, 19, 30, 4, 25, 33, 27, 19, 22]"
679,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.03,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
680,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.035,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
669,26,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.105,"[3, 16, 29, 25, 30, 28, 15, 18, 29, 15, 34, 30, 20, 19, 23, 28, 16, 27, 21, 34, 23, 33, 24, 27, 23, 33, 27, 24, 22, 20]"
668,26,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.1,"[0, 10, 22, 20, 23, 25, 10, 26, 29, 20, 27, 23, 20, 28, 29, 29, 26, 33, 7, 23, 27, 17, 22, 21, 12, 29, 24, 35, 21, 22]"
670,26,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.11,"[3, 13, 22, 23, 33, 26, 22, 19, 21, 28, 30, 22, 17, 34, 18, 32, 28, 27, 8, 19, 33, 29, 25, 28, 17, 27, 24, 28, 24, 26]"
671,26,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.115,"[0, 1, 17, 18, 29, 24, 20, 28, 32, 29, 19, 32, 34, 28, 26, 24, 24, 24, 21, 22, 29, 29, 24, 26, 18, 26, 25, 35, 28, 30]"
672,26,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.12,"[0, 0, 0, 15, 26, 21, 27, 25, 34, 34, 39, 29, 12, 37, 22, 22, 34, 27, 27, 32, 27, 27, 29, 31, 22, 32, 20, 29, 16, 24]"
666,26,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.09,"[0, 0, 0, 7, 7, 13, 10, 17, 17, 19, 27, 21, 8, 12, 20, 18, 28, 24, 26, 21, 26, 20, 28, 34, 3, 18, 22, 23, 21, 26]"
673,26,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.125,"[0, 14, 24, 38, 33, 23, 25, 32, 30, 30, 26, 29, 24, 37, 29, 32, 26, 25, 23, 26, 30, 30, 27, 29, 15, 27, 27, 26, 27, 27]"
674,26,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.13,"[0, 14, 32, 27, 43, 36, 27, 31, 35, 18, 41, 30, 18, 44, 29, 26, 26, 26, 18, 30, 37, 24, 22, 27, 19, 27, 27, 32, 25, 30]"
682,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.045,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 1, 2, 0, 2, 1, 2, 1, 3, 1, 0, 0, 2, 2, 2, 4, 1, 2, 4]"
681,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.04,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
683,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 6, 3, 3, 3, 11]"
689,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.08,"[3, 15, 20, 13, 29, 19, 5, 22, 15, 16, 23, 25, 0, 3, 2, 3, 11, 15, 8, 13, 23, 23, 30, 20, 3, 4, 18, 21, 21, 29]"
684,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.055,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 5, 1, 4, 4, 1, 4, 0, 0, 0, 0, 2, 1, 3, 2, 0, 2, 1, 2, 4]"
691,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.09,"[0, 3, 23, 19, 20, 23, 17, 20, 20, 25, 23, 28, 7, 15, 20, 26, 21, 21, 13, 18, 36, 19, 22, 27, 2, 9, 14, 16, 20, 25]"
685,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.06,"[0, 0, 0, 2, 3, 4, 1, 2, 8, 10, 10, 8, 4, 3, 6, 6, 10, 12, 1, 3, 6, 4, 7, 15, 1, 0, 0, 0, 0, 4]"
686,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.065,"[0, 0, 0, 0, 0, 1, 1, 3, 6, 9, 14, 13, 3, 4, 3, 8, 9, 6, 0, 0, 0, 2, 2, 3, 1, 5, 6, 12, 6, 8]"
688,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.075,"[0, 0, 0, 0, 0, 0, 2, 5, 7, 3, 12, 12, 3, 2, 4, 7, 8, 15, 2, 2, 8, 16, 24, 22, 4, 6, 11, 14, 9, 18]"
687,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.07,"[0, 0, 4, 7, 13, 21, 4, 6, 10, 12, 14, 14, 17, 9, 10, 14, 13, 14, 1, 4, 7, 18, 14, 17, 2, 12, 19, 18, 23, 17]"
690,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.085,"[0, 0, 3, 7, 5, 7, 12, 15, 29, 25, 27, 22, 17, 28, 27, 16, 26, 22, 4, 20, 13, 24, 15, 26, 9, 15, 29, 22, 21, 26]"
700,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
701,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.015,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
703,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.025,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
702,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.02,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
705,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.035,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
704,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.03,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0]"
706,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.04,"[0, 1, 1, 0, 2, 1, 0, 2, 1, 1, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 1]"
707,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.045,"[0, 0, 2, 4, 5, 3, 0, 0, 1, 2, 4, 5, 1, 0, 0, 3, 0, 2, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0]"
708,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.05,"[0, 0, 0, 0, 2, 1, 2, 4, 1, 3, 1, 3, 0, 2, 2, 1, 3, 2, 1, 1, 2, 2, 3, 2, 0, 1, 0, 3, 3, 2]"
692,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.095,"[0, 0, 13, 19, 23, 31, 7, 19, 31, 19, 29, 25, 15, 30, 24, 26, 27, 25, 24, 22, 38, 15, 15, 26, 15, 16, 27, 20, 25, 27]"
694,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.105,"[5, 25, 19, 31, 27, 25, 2, 14, 22, 17, 25, 25, 14, 28, 34, 31, 21, 22, 17, 29, 25, 22, 20, 34, 8, 10, 23, 27, 32, 21]"
693,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.1,"[0, 0, 3, 6, 20, 23, 11, 30, 24, 19, 33, 28, 17, 36, 26, 18, 19, 24, 12, 12, 22, 21, 29, 27, 11, 20, 25, 27, 25, 24]"
695,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.11,"[0, 2, 6, 21, 30, 23, 7, 24, 32, 20, 28, 26, 20, 34, 32, 29, 22, 25, 26, 29, 25, 22, 25, 31, 26, 31, 26, 28, 24, 28]"
711,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.065,"[0, 0, 0, 0, 0, 0, 0, 5, 6, 2, 7, 10, 0, 2, 2, 5, 2, 5, 0, 2, 5, 8, 5, 11, 7, 6, 9, 15, 14, 23]"
710,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.06,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 4, 7, 2, 4, 7, 9, 14, 13, 6, 0, 5, 4, 8, 8, 4, 4, 12, 13, 12, 13]"
709,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.055,"[1, 1, 1, 6, 2, 3, 3, 8, 12, 3, 8, 9, 2, 3, 2, 5, 9, 10, 0, 1, 1, 5, 3, 2, 1, 4, 4, 8, 5, 9]"
696,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.115,"[4, 14, 29, 27, 27, 22, 25, 32, 28, 21, 35, 36, 27, 34, 23, 30, 33, 28, 18, 26, 31, 32, 21, 26, 29, 30, 37, 26, 27, 26]"
697,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.12,"[2, 23, 27, 30, 28, 29, 30, 28, 28, 25, 28, 37, 20, 22, 25, 30, 25, 23, 24, 25, 30, 35, 21, 23, 18, 39, 27, 37, 23, 26]"
698,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.125,"[0, 0, 7, 25, 32, 26, 28, 27, 32, 30, 29, 32, 29, 25, 31, 38, 41, 29, 22, 20, 36, 35, 28, 33, 22, 37, 40, 21, 27, 32]"
699,27,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.13,"[3, 15, 35, 32, 34, 22, 25, 19, 28, 26, 27, 25, 21, 37, 29, 32, 33, 28, 19, 21, 37, 31, 21, 33, 23, 34, 19, 40, 31, 31]"
712,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.07,"[0, 0, 1, 1, 3, 1, 2, 2, 5, 5, 8, 14, 4, 8, 8, 10, 12, 13, 4, 9, 13, 9, 20, 18, 6, 11, 14, 9, 16, 12]"
713,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.075,"[1, 3, 1, 5, 4, 1, 2, 4, 5, 7, 13, 8, 6, 10, 11, 12, 23, 24, 11, 16, 27, 13, 17, 13, 2, 9, 7, 14, 22, 18]"
716,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.09,"[0, 1, 2, 6, 25, 21, 13, 21, 24, 20, 27, 25, 16, 15, 18, 25, 15, 23, 1, 0, 1, 3, 9, 19, 13, 19, 20, 29, 25, 24]"
725,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
726,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.015,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
717,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.095,"[0, 0, 4, 4, 13, 13, 11, 18, 19, 17, 33, 27, 7, 26, 24, 26, 14, 19, 5, 20, 22, 29, 18, 29, 11, 15, 30, 32, 21, 22]"
727,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.02,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
718,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.1,"[0, 0, 1, 4, 12, 19, 7, 20, 34, 31, 29, 19, 17, 25, 29, 29, 20, 19, 7, 7, 34, 18, 20, 29, 13, 30, 23, 38, 26, 23]"
729,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.03,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
720,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.11,"[0, 0, 0, 15, 10, 21, 3, 10, 26, 35, 23, 31, 16, 34, 23, 25, 28, 29, 17, 26, 19, 30, 28, 26, 17, 32, 31, 18, 23, 31]"
719,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.105,"[0, 0, 3, 8, 25, 21, 10, 32, 29, 24, 32, 24, 7, 30, 25, 31, 22, 28, 16, 21, 30, 24, 21, 22, 21, 29, 29, 23, 20, 25]"
730,29,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.035,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 5]"
714,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.08,"[0, 0, 0, 1, 9, 2, 2, 4, 5, 12, 15, 18, 4, 4, 11, 16, 12, 15, 10, 20, 20, 20, 17, 24, 8, 10, 16, 18, 21, 26]"
721,28,2332800,B_,0.003,0.75,180,0.9,14,11,32,0.115,"[29, 29, 34, 34, 25, 19, 13, 26, 28, 25, 36, 37, 19, 31, 26, 29, 28, 29, 22, 15, 23, 28, 25, 27, 16, 35, 29, 31, 22, 31]"
