,prob_transmission,Hand0.8,Hand0.9,Hand0.95,Hand0.99
13,0.089993843,"[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 3, 2, 2, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 31, 2, 1, 3, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,0.085919908,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 28, 4, 2, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 31, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 1, 0, 2, 2, 15, 13, 1, 2, 1, 2, 2, 2, 3, 2, 1, 2]"
15,0.088704726,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 31, 2, 1, 2, 3, 2, 1, 2, 1, 2, 2, 3, 2, 2, 1, 3]","[0, 0, 0, 8, 21, 5, 2, 3, 2, 1, 2, 1, 2, 2, 3, 2, 2, 1, 3]"
16,0.089283326,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 4, 7, 23, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5]"
17,0.088106674,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 7, 6, 6, 6, 6, 6, 6, 6, 6]","[0, 0, 0, 0, 0, 8, 10, 15, 7, 6, 6, 6, 6, 4, 7, 6, 6, 6, 6]"
18,0.088391392,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 29, 4, 1, 3, 2, 2, 1, 2, 1, 2, 2, 3, 2, 2, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,0.080026398,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 31, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 30, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,0.087489746,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 3, 4, 5, 4, 4, 4, 4, 4]","[0, 0, 0, 29, 4, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,0.093004566,"[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 17, 4, 4, 4, 4, 5, 4, 4]"
22,0.087129488,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 8, 19, 4, 2, 2, 1, 2, 1, 3, 2, 2, 2, 2, 2, 2]"
