,prob_transmission,Iso3,Iso7,Iso10,Iso14
27,0.054361329,"[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 3, 2, 1, 2]","[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 1, 3]","[0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 5, 4, 4, 4]","[0, 0, 0, 0, 0, 31, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2]"
28,0.052999149,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,0.052732839,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 13, 10, 10, 10, 10, 10, 10, 10, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 31, 2, 1, 3, 2, 2, 1, 2, 1, 2, 2, 2, 3, 2, 1, 2]"
30,0.05236831,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 6, 27, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 32, 4, 4, 4, 4, 4, 3, 5, 3, 4, 4, 5, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,0.05503514,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,0.051566917,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 5, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 8, 8, 8, 8, 8, 10, 8, 8, 8]"
33,0.054075223,"[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 1, 3]","[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 1, 3]","[0, 0, 0, 0, 0, 31, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 33, 11, 12, 10, 10, 10, 10, 10, 10, 13, 10, 10, 10, 10]"
34,0.052851433,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,0.05187829,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 32, 4, 4, 4, 4, 4, 3, 5, 3, 4, 5, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,0.052882464,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 30, 2, 2, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 32, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 7]","[0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 5, 4, 4, 4, 4]"
37,0.052689766,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 31, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
