0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,56,12,14,26,16,21,14,19,20,14,19,20,17,19,19,19,18,14,21,16,23,14,14,20,19,15,21,21,14,18,20,19,18,14,14
0,48,11,11,20,12,16,11,13,17,11,12,19,11,15,15,13,14,12,14,13,19,11,11,11,17,11,17,16,11,13,15,15,14,11,11
0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,24,26,50,28,45,26,42,33,26,42,34,39,32,32,41,31,36,35,36,41,26,30,42,31,36,40,37,34,27,42,32,39,28,33
1,69,19,21,40,23,35,21,33,27,21,32,28,31,26,26,31,27,27,28,27,34,22,23,35,23,30,29,33,24,23,35,24,33,21,23
0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54,11,13,24,15,19,13,19,17,13,18,18,16,16,19,15,19,13,16,18,20,13,13,19,16,15,19,19,14,18,17,17,17,13,13
0,46,7,9,16,11,11,9,11,13,9,9,14,9,14,11,11,9,11,13,9,12,10,9,9,14,9,13,14,9,9,10,14,9,9,9
2,72,21,23,43,26,39,23,35,31,23,36,30,35,28,29,36,26,31,32,31,37,23,27,34,28,33,35,32,29,24,41,24,34,25,32
0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,38,3,5,8,7,5,5,4,6,3,7,5,6,5,6,6,4,5,5,5,6,5,2,6,5,5,8,7,3,5,6,6,5,0,5
0,64,16,18,33,21,28,19,29,22,18,27,25,25,21,25,26,22,21,26,23,29,18,19,26,24,24,29,24,19,22,30,20,25,18,22
0,68,18,20,38,22,33,20,29,28,20,31,26,29,25,26,30,24,25,27,28,31,20,22,33,22,26,32,28,25,21,32,24,30,20,23
0,45,8,9,16,11,11,9,12,12,9,10,12,12,9,15,9,12,9,11,11,14,9,8,10,13,9,12,15,9,9,12,12,10,9,9
0,40,4,6,10,8,6,6,6,7,6,6,9,6,6,9,6,6,6,8,5,8,6,5,6,7,6,8,10,5,6,7,8,6,3,3
0,68,18,20,38,22,33,20,29,28,20,31,27,27,26,25,30,25,26,27,27,30,20,27,27,23,28,31,28,25,20,32,25,30,20,25
1,59,14,16,30,18,25,16,22,23,16,23,23,20,21,22,22,20,17,24,19,27,16,17,21,23,18,26,22,17,21,25,18,21,16,20
2,68,19,21,40,23,35,21,32,28,21,32,28,31,26,26,33,25,26,30,26,36,21,22,33,26,28,32,30,25,23,36,24,32,21,22
0,42,5,7,12,9,7,7,8,10,6,8,11,7,7,11,7,7,7,11,7,8,7,7,7,8,8,10,11,7,7,8,10,7,5,7
0,36,2,4,6,6,3,3,4,4,1,6,4,4,4,5,4,3,4,4,4,4,3,0,4,5,4,4,8,0,4,5,4,4,0,1
0,32,0,1,3,3,0,1,0,2,0,1,2,0,2,2,2,0,0,2,0,2,0,0,0,0,2,2,3,0,0,2,1,0,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,67,18,20,37,23,33,20,31,26,20,30,27,29,25,25,32,23,24,29,26,33,20,22,32,23,25,33,27,24,22,32,25,29,20,24
0,64,16,18,34,20,29,18,26,25,18,27,24,26,21,26,25,22,21,25,23,30,18,19,28,22,22,29,25,21,21,28,21,27,18,20
0,48,8,10,18,12,13,10,11,16,10,10,16,11,15,12,13,11,11,14,10,17,10,10,10,16,10,14,16,10,10,14,13,12,10,10
0,50,9,11,20,13,15,11,14,16,11,12,18,12,15,15,14,13,11,17,11,18,11,11,13,17,11,18,15,11,12,18,11,13,11,12
0,32,0,1,3,3,0,1,0,2,0,1,2,0,2,2,2,0,0,2,0,2,0,0,0,0,2,2,3,0,0,2,1,0,0,0
0,64,16,18,34,19,30,18,22,29,18,26,25,25,23,23,26,23,20,27,20,33,18,18,26,25,22,28,25,19,24,26,23,26,18,20
1,60,16,17,32,19,27,17,25,23,17,24,24,23,22,22,24,22,19,24,21,29,17,18,24,23,21,23,26,19,22,26,21,22,17,20
0,50,9,11,20,13,15,11,16,14,11,14,15,14,12,18,12,15,11,15,13,17,11,11,14,16,11,15,18,11,11,17,13,15,11,11
0,44,6,8,14,10,9,8,8,13,7,9,12,9,9,12,8,10,8,10,9,12,8,8,8,11,8,11,13,8,8,11,10,8,8,8
0,34,1,3,3,5,2,2,2,2,1,4,3,2,3,3,3,1,3,3,2,3,1,0,2,3,3,3,5,0,3,3,3,1,0,0
0,50,9,11,20,13,15,11,14,15,12,13,17,12,15,15,15,12,11,17,12,16,11,11,15,15,12,14,18,11,13,16,14,12,12,11
0,44,6,8,14,10,9,8,9,12,7,9,12,9,9,12,8,10,8,10,9,13,7,8,8,10,9,12,12,8,8,10,11,8,8,6
0,38,3,5,8,7,5,5,4,5,4,6,7,4,5,8,5,4,5,5,5,6,5,2,6,5,5,7,8,3,5,6,6,5,1,3
0,38,3,5,8,7,5,5,3,5,5,5,8,5,5,6,6,4,5,5,6,5,5,2,5,6,5,8,7,3,5,6,5,5,2,2
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,66,18,20,38,22,33,20,30,27,20,32,26,28,25,26,30,24,24,30,24,33,20,26,28,23,27,30,30,23,21,36,21,30,20,28
0,64,16,18,34,20,29,18,25,26,18,27,25,24,23,23,28,21,20,27,22,31,18,18,27,24,21,29,25,20,22,29,22,23,18,23
1,46,9,10,18,12,13,10,13,14,10,11,15,12,12,15,12,11,11,15,10,15,10,10,12,15,10,14,16,10,10,16,11,12,10,10
1,55,12,14,26,16,21,14,19,20,14,18,22,16,19,19,19,18,14,21,16,23,14,14,20,19,15,23,18,15,19,20,17,17,14,18
0,32,0,1,3,3,0,1,0,2,0,1,2,0,2,2,2,0,0,2,0,2,0,0,0,0,2,2,2,0,1,2,1,0,0,0
0,52,10,12,22,14,17,12,16,17,12,14,20,12,17,17,16,13,12,20,12,19,12,12,16,16,13,18,18,12,15,17,16,14,12,12
0,42,5,7,12,9,7,7,8,10,6,8,11,7,7,11,7,7,7,11,7,8,7,6,7,10,7,11,10,7,7,7,11,6,7,2
1,61,15,17,32,19,27,17,22,26,17,24,24,23,22,22,24,22,20,22,22,28,17,21,23,21,23,25,24,18,21,28,20,22,17,20
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,74,24,24,46,26,41,24,38,31,24,38,32,35,30,29,40,27,32,33,33,38,24,32,37,24,34,37,35,30,24,44,25,36,24,38
0,44,6,8,14,10,9,8,9,12,7,9,13,8,9,12,8,10,8,10,9,13,7,8,8,10,9,12,12,8,8,11,10,8,8,6
0,40,4,6,9,9,6,6,6,7,6,6,9,6,6,9,6,6,6,8,6,7,6,4,6,9,6,6,12,4,6,7,7,6,5,2
1,47,8,10,17,13,13,10,12,15,10,10,18,10,13,13,13,12,10,14,11,16,10,10,11,15,10,14,16,10,10,14,13,12,10,10
0,54,11,13,24,15,19,13,19,17,13,17,19,16,16,19,17,17,13,18,16,21,13,13,18,18,13,21,18,13,16,19,17,17,13,13
1,51,10,12,22,14,17,12,16,17,12,14,20,12,17,17,14,15,14,16,13,20,12,12,15,18,13,19,17,12,14,19,14,13,12,13
0,34,1,3,4,4,2,2,2,2,1,4,3,2,3,3,3,1,3,3,2,3,1,0,3,2,3,4,4,0,3,3,3,1,0,0
0,46,7,9,16,11,11,9,10,13,9,10,15,9,12,12,11,10,9,14,9,13,9,9,10,13,9,14,13,9,9,13,11,10,9,9
0,35,3,4,6,5,4,3,4,4,1,6,4,4,4,5,4,3,4,4,4,4,3,0,4,5,4,4,8,0,4,6,4,3,0,1
0,60,17,17,32,19,27,17,23,25,17,25,24,23,20,23,25,21,19,24,22,28,17,19,24,22,20,28,23,19,19,29,20,22,17,21
0,34,1,3,4,4,2,2,2,2,1,4,3,2,3,3,3,1,3,3,0,4,2,0,2,3,3,3,4,2,1,4,3,1,0,0
1,41,5,7,11,10,7,7,8,10,6,8,9,8,8,11,7,7,7,11,7,8,7,6,8,9,7,10,11,7,7,7,11,6,7,3
0,32,2,3,3,5,1,3,0,4,0,5,2,3,3,3,3,0,4,3,0,4,1,0,3,3,3,3,4,1,2,3,3,2,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47,9,10,18,12,13,10,12,15,10,10,18,10,13,13,14,11,10,15,10,15,10,10,12,15,10,15,15,10,10,15,12,11,10,10
0,40,4,6,10,8,6,6,6,7,6,6,8,7,6,9,6,6,6,8,6,7,6,4,6,9,6,6,12,4,6,7,7,6,5,4
1,70,21,22,42,24,37,22,32,31,22,35,28,34,25,28,34,27,30,29,31,32,22,28,35,23,31,34,32,27,22,38,25,34,22,29
0,58,13,15,28,17,23,15,23,19,15,22,19,22,16,22,20,20,16,20,20,24,15,17,21,19,17,26,19,16,18,26,16,18,17,17
0,55,13,14,26,16,21,14,19,20,14,19,20,17,19,19,19,18,14,21,16,23,14,14,20,19,15,26,16,14,18,23,16,16,14,17
0,42,5,7,11,10,7,7,8,10,6,8,9,9,7,11,7,7,7,11,7,8,7,7,7,8,8,10,10,8,7,8,10,7,5,4
0,34,1,3,3,5,2,2,2,2,1,4,3,2,3,3,3,1,3,3,2,3,1,0,3,2,3,3,5,0,3,3,3,1,0,0
