,7,10
0,0,36
1,0,0
2,0,0
3,82,0
4,0,0
5,1,0
6,0,0
7,16,3
8,0,92
9,0,0
10,0,0
11,0,134
12,148,0
13,82,0
14,11,0
15,0,0
16,1,0
17,11,155
18,116,0
19,0,20
20,130,0
21,25,39
22,0,11
23,70,0
24,7,0
25,0,36
26,0,0
27,0,0
28,117,0
29,52,0
30,0,0
31,0,142
32,0,67
33,0,0
34,1,0
35,0,0
36,0,0
37,0,0
38,1,0
39,11,0
40,0,1
41,0,0
42,1,0
43,0,0
44,12,0
45,1,2
46,6,33
47,0,0
48,13,0
49,0,46
