,0.8,0.95,0.99
0,76,1,0
1,51,1,1
2,72,4,0
3,46,0,4
4,58,1,0
5,56,0,1
6,15,18,0
7,15,0,0
8,73,1,3
9,31,18,2
10,65,13,2
11,55,0,1
12,67,10,3
13,90,5,0
14,77,10,8
15,27,3,11
16,45,2,1
17,55,15,2
18,77,1,1
19,3,1,3
20,39,4,0
21,39,6,1
22,64,25,9
23,44,0,1
24,25,3,2
25,52,9,1
26,19,22,0
27,54,12,1
28,8,16,7
29,0,17,3
30,28,0,5
31,40,8,0
32,33,3,0
33,14,1,1
34,45,2,2
35,6,28,0
36,32,0,0
37,48,5,0
38,38,14,1
39,21,0,2
40,38,14,1
41,50,4,2
42,15,0,1
43,47,10,1
44,64,1,10
45,49,0,0
46,45,3,1
47,50,0,7
48,44,3,1
49,39,2,0
