prob_transmission,,HCW related infections,Cumulative Patients
0.003,0,3,426
0.003,1,0,375
0.003,2,7,326
0.003,3,0,338
0.003,4,0,394
0.003,5,0,271
0.003,6,0,341
0.003,7,4,342
0.003,8,0,336
0.003,9,0,324
0.003,10,21,260
0.003,11,2,313
0.003,12,16,414
0.003,13,1,447
0.003,14,12,424
0.003,15,0,315
0.003,16,0,461
0.003,17,0,391
0.003,18,29,363
0.003,19,0,446
0.003,20,0,407
0.003,21,3,347
0.003,22,0,347
0.003,23,0,358
0.003,24,2,362
0.003,25,0,293
0.003,26,0,334
0.003,27,0,317
0.003,28,0,257
0.003,29,0,312
0.003,30,8,427
0.003,31,0,328
0.003,32,0,417
0.003,33,0,418
0.003,34,0,376
0.003,35,0,333
0.003,36,0,344
0.003,37,0,354
0.003,38,0,438
0.003,39,0,369
0.003,40,0,374
0.003,41,0,346
0.003,42,0,363
0.003,43,0,329
0.003,44,0,337
0.003,45,0,362
0.003,46,24,312
0.003,47,0,324
0.003,48,2,315
0.003,49,0,363
0.005,0,0,371
0.005,1,22,363
0.005,2,88,445
0.005,3,0,371
0.005,4,0,383
0.005,5,0,416
0.005,6,0,283
0.005,7,0,381
0.005,8,1,409
0.005,9,9,376
0.005,10,0,372
0.005,11,0,333
0.005,12,0,325
0.005,13,30,380
0.005,14,0,411
0.005,15,0,351
0.005,16,0,375
0.005,17,0,424
0.005,18,36,316
0.005,19,0,397
0.005,20,1,321
0.005,21,0,342
0.005,22,22,309
0.005,23,0,353
0.005,24,0,437
0.005,25,0,355
0.005,26,54,350
0.005,27,1,374
0.005,28,0,345
0.005,29,39,437
0.005,30,0,365
0.005,31,24,346
0.005,32,9,331
0.005,33,58,452
0.005,34,0,399
0.005,35,16,340
0.005,36,0,369
0.005,37,0,368
0.005,38,0,357
0.005,39,0,368
0.005,40,8,302
0.005,41,0,370
0.005,42,0,330
0.005,43,8,341
0.005,44,0,350
0.005,45,0,342
0.005,46,0,369
0.005,47,0,324
0.005,48,16,420
0.005,49,0,381
0.007,0,0,428
0.007,1,46,388
0.007,2,0,435
0.007,3,13,304
0.007,4,15,505
0.007,5,1,372
0.007,6,0,354
0.007,7,0,376
0.007,8,0,359
0.007,9,0,445
0.007,10,0,419
0.007,11,23,382
0.007,12,0,283
0.007,13,44,378
0.007,14,11,313
0.007,15,6,310
0.007,16,2,374
0.007,17,0,470
0.007,18,0,341
0.007,19,50,322
0.007,20,0,336
0.007,21,0,396
0.007,22,0,365
0.007,23,13,358
0.007,24,0,459
0.007,25,13,317
0.007,26,1,341
0.007,27,20,418
0.007,28,0,319
0.007,29,67,244
0.007,30,0,398
0.007,31,1,329
0.007,32,79,296
0.007,33,0,371
0.007,34,0,328
0.007,35,88,421
0.007,36,0,377
0.007,37,27,318
0.007,38,0,355
0.007,39,0,364
0.007,40,0,413
0.007,41,33,418
0.007,42,51,345
0.007,43,0,381
0.007,44,0,290
0.007,45,0,343
0.007,46,2,309
0.007,47,15,377
0.007,48,82,432
0.007,49,57,383
0.009,0,0,383
0.009,1,1,431
0.009,2,0,234
0.009,3,17,353
0.009,4,0,366
0.009,5,66,340
0.009,6,33,402
0.009,7,34,372
0.009,8,0,365
0.009,9,0,313
0.009,10,0,362
0.009,11,1,356
0.009,12,56,360
0.009,13,75,338
0.009,14,0,364
0.009,15,0,396
0.009,16,0,510
0.009,17,0,397
0.009,18,0,464
0.009,19,0,394
0.009,20,0,424
0.009,21,13,324
0.009,22,65,400
0.009,23,60,372
0.009,24,2,388
0.009,25,1,299
0.009,26,20,354
0.009,27,3,438
0.009,28,47,391
0.009,29,23,301
0.009,30,6,281
0.009,31,71,429
0.009,32,43,391
0.009,33,13,377
0.009,34,0,426
0.009,35,0,334
0.009,36,0,354
0.009,37,35,358
0.009,38,22,339
0.009,39,0,393
0.009,40,94,433
0.009,41,124,328
0.009,42,0,350
0.009,43,0,407
0.009,44,2,331
0.009,45,179,458
0.009,46,1,322
0.009,47,79,330
0.009,48,132,447
0.009,49,2,343
