,cleaningDay,Run,HCW_related_infecs,Number_of_Patients_sick,prob_patient_sick,prob_new_patient,prob_transmission,isolation_factor,isolate_sick,isolation_time,icu_hcw_wash_rate,outside_hcw_wash_rate,height,width
71,30,71,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
72,30,72,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
73,30,73,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
74,30,74,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
75,30,75,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
76,30,76,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
77,30,77,0,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
78,30,78,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
79,30,79,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
80,30,80,2,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
81,30,81,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
82,30,82,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
83,30,83,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
84,30,84,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
85,30,85,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
86,30,86,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
87,30,87,1,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
88,30,88,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
89,30,89,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
90,30,90,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
91,30,91,0,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
92,30,92,0,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
93,30,93,0,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
94,30,94,2,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
95,30,95,2,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
96,30,96,0,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
97,30,97,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
98,30,98,4,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
99,30,99,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
100,30,100,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
101,30,101,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
102,30,102,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
103,30,103,0,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
104,30,104,4,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
105,30,105,2,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
106,30,106,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
107,30,107,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
108,30,108,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
109,30,109,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
110,30,110,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
111,30,111,0,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
112,30,112,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
113,30,113,2,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
114,30,114,0,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
115,30,115,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
116,30,116,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
