,0.003,0.005,0.009
0,26,1,8
1,1,2,108
2,7,2,113
3,6,36,25
4,6,62,56
5,6,31,2
6,17,15,68
7,0,5,5
8,2,37,38
9,5,1,41
10,1,31,25
11,24,7,69
12,1,3,99
13,20,3,45
14,17,12,85
15,25,6,108
16,9,27,108
17,0,16,78
18,5,4,124
19,7,3,34
20,3,3,68
21,6,11,72
22,0,37,95
23,4,31,123
24,12,78,71
25,22,25,118
26,1,12,14
27,7,8,53
28,10,22,77
29,10,0,99
30,0,33,14
31,13,16,83
32,4,6,43
33,10,2,121
34,5,40,91
35,12,8,65
36,21,27,101
37,1,23,38
38,0,69,48
39,11,39,83
40,9,28,96
41,27,18,53
42,26,41,60
43,8,52,107
44,8,39,78
45,7,38,17
46,0,22,29
47,21,21,66
48,8,62,68
49,6,29,115
,9.14,22.88,68.1
