,icu_hcw_wash_rate,Run,HCW_related_infecs,Number_of_Patients_sick,prob_patient_sick,prob_new_patient,prob_transmission,isolation_factor,cleaningDay,isolate_sick,isolation_time,outside_hcw_wash_rate,height,width
88,0.9,88,6,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
89,0.9,89,9,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
90,0.9,90,13,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
91,0.9,91,9,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
92,0.9,92,9,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
93,0.9,93,16,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
94,0.9,94,14,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
95,0.9,95,8,6,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
96,0.9,96,6,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
97,0.9,97,10,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
98,0.9,98,16,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
99,0.9,99,15,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
100,0.95,100,12,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
101,0.95,101,7,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
102,0.95,102,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
103,0.95,103,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
104,0.95,104,13,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
105,0.95,105,8,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
106,0.95,106,16,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
107,0.95,107,9,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
108,0.95,108,10,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
109,0.95,109,14,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
110,0.95,110,5,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
111,0.95,111,11,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
112,0.95,112,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
113,0.95,113,4,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
114,0.95,114,9,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
115,0.95,115,6,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
116,0.95,116,8,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
117,0.95,117,13,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
118,0.95,118,12,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
119,0.95,119,9,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
120,0.95,120,10,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
121,0.95,121,7,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
122,0.95,122,8,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
123,0.95,123,15,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
124,0.95,124,6,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
125,0.95,125,11,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
126,0.95,126,6,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
127,0.95,127,13,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
128,0.95,128,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
129,0.95,129,7,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
130,0.95,130,10,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
131,0.95,131,8,7,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
132,0.95,132,9,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
133,0.95,133,10,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
134,0.95,134,9,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
135,0.95,135,2,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
136,0.95,136,18,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
137,0.95,137,5,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
138,0.95,138,7,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
139,0.95,139,6,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
140,0.95,140,9,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
141,0.95,141,11,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
142,0.95,142,7,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
143,0.95,143,9,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
144,0.95,144,16,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
145,0.95,145,3,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
146,0.95,146,10,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
147,0.95,147,15,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
148,0.95,148,8,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
149,0.95,149,13,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
150,0.99,150,4,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
151,0.99,151,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
152,0.99,152,6,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
153,0.99,153,8,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
154,0.99,154,4,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
155,0.99,155,5,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
156,0.99,156,5,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
157,0.99,157,6,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
158,0.99,158,12,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
159,0.99,159,8,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
160,0.99,160,5,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
161,0.99,161,4,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
162,0.99,162,10,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
163,0.99,163,6,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
164,0.99,164,9,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
165,0.99,165,8,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
166,0.99,166,8,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
167,0.99,167,9,6,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
168,0.99,168,8,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
169,0.99,169,3,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
170,0.99,170,7,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
171,0.99,171,7,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
172,0.99,172,4,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
173,0.99,173,6,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
174,0.99,174,5,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
175,0.99,175,4,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
176,0.99,176,5,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
177,0.99,177,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
178,0.99,178,10,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
179,0.99,179,4,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
180,0.99,180,4,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
181,0.99,181,4,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
182,0.99,182,8,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
183,0.99,183,9,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
184,0.99,184,2,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
185,0.99,185,6,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
186,0.99,186,10,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
187,0.99,187,7,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
188,0.99,188,6,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
189,0.99,189,8,6,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
190,0.99,190,7,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
191,0.99,191,6,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
192,0.99,192,10,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
193,0.99,193,5,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
194,0.99,194,5,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
195,0.99,195,6,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
196,0.99,196,4,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
197,0.99,197,5,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
198,0.99,198,9,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
199,0.99,199,4,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
