prob_transmission,,HCW related infections,Cumulative Patients
1e-06,0,1,407
1e-06,1,1,434
1e-06,2,1,415
1e-06,3,0,442
1e-06,4,0,380
1e-06,5,0,379
1e-06,6,0,445
1e-06,7,0,376
1e-06,8,0,372
1e-06,9,1,381
1e-06,10,1,433
1e-06,11,0,427
1e-06,12,0,352
1e-06,13,0,366
1e-06,14,0,315
1e-06,15,0,379
1e-06,16,0,415
1e-06,17,0,371
1e-06,18,0,351
1e-06,19,0,394
1e-06,20,1,377
1e-06,21,0,347
1e-06,22,0,397
1e-06,23,0,398
1e-06,24,0,424
1e-06,25,0,417
1e-06,26,0,333
1e-06,27,0,373
1e-06,28,0,384
1e-06,29,0,379
1e-06,30,0,390
1e-06,31,0,441
1e-06,32,0,331
1e-06,33,0,326
1e-06,34,0,356
1e-06,35,0,388
1e-06,36,0,346
1e-06,37,0,359
1e-06,38,0,405
1e-06,39,0,414
1e-06,40,1,362
1e-06,41,0,377
1e-06,42,0,370
1e-06,43,0,316
1e-06,44,0,403
1e-06,45,0,399
1e-06,46,0,406
1e-06,47,0,422
1e-06,48,0,416
1e-06,49,0,343
1e-05,0,0,362
1e-05,1,1,412
1e-05,2,0,407
1e-05,3,1,341
1e-05,4,2,385
1e-05,5,0,345
1e-05,6,0,410
1e-05,7,3,437
1e-05,8,2,409
1e-05,9,0,338
1e-05,10,0,368
1e-05,11,3,435
1e-05,12,0,422
1e-05,13,3,411
1e-05,14,0,399
1e-05,15,0,412
1e-05,16,2,450
1e-05,17,2,375
1e-05,18,1,343
1e-05,19,2,347
1e-05,20,0,403
1e-05,21,2,395
1e-05,22,4,429
1e-05,23,2,432
1e-05,24,1,361
1e-05,25,1,429
1e-05,26,1,291
1e-05,27,1,428
1e-05,28,2,377
1e-05,29,0,409
1e-05,30,4,418
1e-05,31,2,359
1e-05,32,1,440
1e-05,33,1,408
1e-05,34,1,457
1e-05,35,2,401
1e-05,36,1,412
1e-05,37,0,328
1e-05,38,1,396
1e-05,39,1,372
1e-05,40,1,435
1e-05,41,2,497
1e-05,42,0,315
1e-05,43,0,362
1e-05,44,0,427
1e-05,45,2,359
1e-05,46,1,306
1e-05,47,0,372
1e-05,48,2,335
1e-05,49,1,359
0.0001,0,11,417
0.0001,1,15,411
0.0001,2,13,428
0.0001,3,10,288
0.0001,4,10,346
0.0001,5,9,403
0.0001,6,10,373
0.0001,7,13,355
0.0001,8,10,345
0.0001,9,11,422
0.0001,10,8,462
0.0001,11,8,445
0.0001,12,5,341
0.0001,13,8,447
0.0001,14,16,432
0.0001,15,10,360
0.0001,16,12,403
0.0001,17,12,419
0.0001,18,8,391
0.0001,19,9,423
0.0001,20,14,334
0.0001,21,12,421
0.0001,22,11,327
0.0001,23,6,342
0.0001,24,9,449
0.0001,25,6,381
0.0001,26,8,348
0.0001,27,9,376
0.0001,28,10,357
0.0001,29,6,456
0.0001,30,11,387
0.0001,31,18,440
0.0001,32,9,380
0.0001,33,9,421
0.0001,34,15,362
0.0001,35,6,363
0.0001,36,14,358
0.0001,37,9,380
0.0001,38,8,427
0.0001,39,15,405
0.0001,40,11,398
0.0001,41,14,390
0.0001,42,16,405
0.0001,43,10,369
0.0001,44,6,404
0.0001,45,10,444
0.0001,46,8,443
0.0001,47,10,420
0.0001,48,9,376
0.0001,49,13,348
0.001,0,65,378
0.001,1,76,390
0.001,2,70,379
0.001,3,55,326
0.001,4,66,404
0.001,5,63,383
0.001,6,72,376
0.001,7,89,416
0.001,8,70,436
0.001,9,65,367
0.001,10,73,366
0.001,11,68,384
0.001,12,92,444
0.001,13,85,406
0.001,14,75,370
0.001,15,68,386
0.001,16,67,338
0.001,17,79,397
0.001,18,73,444
0.001,19,63,363
0.001,20,68,364
0.001,21,80,428
0.001,22,93,458
0.001,23,67,329
0.001,24,80,379
0.001,25,68,422
0.001,26,85,437
0.001,27,69,410
0.001,28,87,404
0.001,29,76,418
0.001,30,79,384
0.001,31,59,304
0.001,32,61,333
0.001,33,69,417
0.001,34,87,425
0.001,35,63,427
0.001,36,66,406
0.001,37,67,366
0.001,38,64,407
0.001,39,67,436
0.001,40,72,331
0.001,41,71,405
0.001,42,72,389
0.001,43,70,339
0.001,44,62,366
0.001,45,69,432
0.001,46,85,387
0.001,47,59,333
0.001,48,65,366
0.001,49,61,362
