,0.0035,0.004,0.0045
0,7,1,14
1,4,26,59
2,9,21,1
3,0,29,1
4,17,1,17
5,0,1,9
6,22,0,5
7,3,17,5
8,1,2,29
9,3,22,28
10,1,18,0
11,12,8,35
12,31,13,17
13,0,4,1
14,17,1,2
15,12,2,10
16,10,20,7
17,2,24,58
18,27,0,0
19,1,0,14
20,14,31,1
21,14,19,2
22,1,2,19
23,9,0,29
24,1,24,26
25,10,17,4
26,4,0,2
27,7,32,23
28,4,0,26
29,22,10,7
30,6,1,59
31,0,21,9
32,18,2,44
33,20,25,34
34,35,0,14
35,3,1,1
36,11,8,30
37,21,5,12
38,24,10,32
39,5,6,28
40,17,9,15
41,1,47,2
42,3,0,9
43,2,0,8
44,19,11,34
45,3,49,7
46,1,2,42
47,9,29,2
48,36,28,36
49,25,18,28
