,0.001,0.003,0.005,0.009
0,0,0,0,101
1,0,7,25,71
2,0,3,0,50
3,1,17,42,28
4,0,6,25,65
5,1,0,0,3
6,0,0,0,104
7,0,6,7,78
8,0,6,0,4
9,0,1,10,53
10,1,6,0,129
11,0,0,0,7
12,0,2,6,1
13,0,0,0,22
14,0,0,1,7
15,0,4,0,58
16,0,7,16,66
17,0,8,10,58
18,0,3,1,0
19,0,13,0,97
20,0,0,2,0
21,0,0,0,4
22,2,5,2,74
23,2,0,1,54
24,0,8,0,0
25,0,0,26,132
26,0,3,14,0
27,0,8,31,84
28,0,16,0,26
29,0,43,0,31
30,0,4,21,27
31,0,1,0,44
32,0,0,0,5
33,1,0,4,101
34,0,16,27,13
35,0,17,17,53
36,0,15,7,107
37,2,2,3,13
38,0,4,2,14
39,0,6,3,126
40,0,0,2,25
41,0,1,52,2
42,0,0,0,15
43,0,9,0,4
44,0,0,1,63
45,2,0,2,3
46,0,0,36,0
47,0,2,16,23
48,0,0,0,82
49,0,0,0,38
,0.24,4.98,8.24,43.3
