prob_transmission,,HCW related infections,Cumulative Patients
0.01,0,0,363
0.01,1,0,365
0.01,2,0,312
0.01,3,0,398
0.01,4,0,357
0.01,5,3,377
0.01,6,0,258
0.01,7,0,363
0.01,8,0,437
0.01,9,0,400
0.01,10,35,308
0.01,11,35,400
0.01,12,9,365
0.01,13,0,414
0.01,14,0,329
0.01,15,105,379
0.01,16,0,343
0.01,17,0,439
0.01,18,143,402
0.01,19,0,408
0.01,20,63,369
0.01,21,0,389
0.01,22,70,376
0.01,23,134,394
0.01,24,0,408
0.01,25,0,357
0.01,26,2,435
0.01,27,0,378
0.01,28,2,417
0.01,29,0,322
0.01,30,5,422
0.01,31,94,404
0.01,32,2,414
0.01,33,0,340
0.01,34,30,325
0.01,35,72,343
0.01,36,0,362
0.01,37,2,453
0.01,38,10,374
0.01,39,165,434
0.01,40,103,378
0.01,41,0,411
0.01,42,0,397
0.01,43,24,340
0.01,44,129,376
0.01,45,25,488
0.01,46,1,332
0.01,47,36,345
0.01,48,1,366
0.01,49,1,440
0.05,0,370,476
0.05,1,42,334
0.05,2,57,364
0.05,3,345,432
0.05,4,88,382
0.05,5,198,389
0.05,6,80,318
0.05,7,151,388
0.05,8,201,417
0.05,9,379,458
0.05,10,0,346
0.05,11,332,443
0.05,12,339,446
0.05,13,359,446
0.05,14,312,416
0.05,15,107,363
0.05,16,86,424
0.05,17,92,397
0.05,18,325,426
0.05,19,315,410
0.05,20,299,416
0.05,21,326,439
0.05,22,85,346
0.05,23,39,355
0.05,24,45,359
0.05,25,308,404
0.05,26,350,451
0.05,27,53,316
0.05,28,355,451
0.05,29,351,423
0.05,30,360,442
0.05,31,331,428
0.05,32,194,414
0.05,33,210,462
0.05,34,301,412
0.05,35,51,320
0.05,36,180,361
0.05,37,331,425
0.05,38,375,495
0.05,39,297,392
0.05,40,371,459
0.05,41,0,404
0.05,42,308,410
0.05,43,272,404
0.05,44,314,411
0.05,45,353,449
0.05,46,304,422
0.05,47,139,399
0.05,48,381,477
0.05,49,350,454
0.1,0,180,384
0.1,1,324,399
0.1,2,351,408
0.1,3,364,426
0.1,4,287,383
0.1,5,362,419
0.1,6,376,424
0.1,7,0,439
0.1,8,405,457
0.1,9,407,452
0.1,10,385,445
0.1,11,388,436
0.1,12,195,365
0.1,13,65,326
0.1,14,400,450
0.1,15,150,359
0.1,16,386,437
0.1,17,79,395
0.1,18,396,449
0.1,19,323,396
0.1,20,183,343
0.1,21,67,310
0.1,22,392,445
0.1,23,77,346
0.1,24,358,417
0.1,25,382,443
0.1,26,401,450
0.1,27,354,428
0.1,28,376,440
0.1,29,188,390
0.1,30,417,457
0.1,31,62,340
0.1,32,422,465
0.1,33,366,424
0.1,34,397,450
0.1,35,332,381
0.1,36,202,409
0.1,37,398,465
0.1,38,201,408
0.1,39,163,353
0.1,40,345,420
0.1,41,186,390
0.1,42,410,444
0.1,43,361,417
0.1,44,406,455
0.1,45,397,469
0.1,46,349,411
0.1,47,395,436
0.1,48,382,444
0.1,49,299,389
0.5,0,419,429
0.5,1,419,431
0.5,2,408,429
0.5,3,418,430
0.5,4,417,431
0.5,5,400,425
0.5,6,412,431
0.5,7,411,424
0.5,8,432,447
0.5,9,409,425
0.5,10,202,347
0.5,11,407,425
0.5,12,413,430
0.5,13,408,423
0.5,14,402,411
0.5,15,411,432
0.5,16,406,420
0.5,17,400,426
0.5,18,418,430
0.5,19,405,415
0.5,20,427,445
0.5,21,223,403
0.5,22,420,437
0.5,23,411,429
0.5,24,415,426
0.5,25,413,431
0.5,26,421,430
0.5,27,404,445
0.5,28,426,440
0.5,29,418,430
0.5,30,346,391
0.5,31,405,427
0.5,32,434,454
0.5,33,393,420
0.5,34,419,438
0.5,35,413,428
0.5,36,416,430
0.5,37,421,431
0.5,38,440,451
0.5,39,403,416
0.5,40,411,439
0.5,41,428,440
0.5,42,380,424
0.5,43,417,430
0.5,44,417,438
0.5,45,410,423
0.5,46,429,443
0.5,47,410,421
0.5,48,381,430
0.5,49,425,447
