prob_transmission,,HCW related infections,Cumulative Patients
0.01,0,0,425
0.01,1,0,327
0.01,2,0,391
0.01,3,0,430
0.01,4,0,439
0.01,5,0,336
0.01,6,0,387
0.01,7,1,411
0.01,8,0,439
0.01,9,0,358
0.01,10,0,365
0.01,11,0,367
0.01,12,0,376
0.01,13,0,409
0.01,14,142,389
0.01,15,0,412
0.01,16,0,415
0.01,17,36,338
0.01,18,59,403
0.01,19,0,438
0.01,20,0,379
0.01,21,0,428
0.01,22,0,389
0.01,23,0,426
0.01,24,164,383
0.01,25,0,434
0.01,26,52,344
0.01,27,0,397
0.01,28,0,355
0.01,29,0,390
0.01,30,0,269
0.01,31,0,367
0.01,32,102,331
0.01,33,0,340
0.01,34,0,371
0.01,35,0,448
0.01,36,0,368
0.01,37,0,391
0.01,38,46,455
0.01,39,50,369
0.01,40,90,393
0.01,41,1,356
0.01,42,0,414
0.01,43,14,309
0.01,44,0,440
0.01,45,0,492
0.01,46,81,329
0.01,47,0,430
0.01,48,0,340
0.01,49,0,277
0.05,0,0,349
0.05,1,0,339
0.05,2,74,356
0.05,3,263,356
0.05,4,93,359
0.05,5,309,433
0.05,6,73,308
0.05,7,305,410
0.05,8,334,420
0.05,9,363,455
0.05,10,294,428
0.05,11,0,373
0.05,12,0,388
0.05,13,0,451
0.05,14,306,434
0.05,15,349,430
0.05,16,335,427
0.05,17,1,335
0.05,18,0,423
0.05,19,0,428
0.05,20,0,366
0.05,21,309,386
0.05,22,296,409
0.05,23,351,422
0.05,24,93,361
0.05,25,0,427
0.05,26,73,325
0.05,27,350,428
0.05,28,349,423
0.05,29,0,467
0.05,30,294,394
0.05,31,89,349
0.05,32,91,419
0.05,33,89,321
0.05,34,87,369
0.05,35,73,313
0.05,36,84,307
0.05,37,0,453
0.05,38,301,402
0.05,39,167,359
0.05,40,0,458
0.05,41,0,383
0.05,42,304,415
0.05,43,74,375
0.05,44,0,423
0.05,45,285,384
0.05,46,0,428
0.05,47,45,311
0.05,48,0,365
0.05,49,328,432
0.1,0,343,403
0.1,1,0,386
0.1,2,97,398
0.1,3,371,412
0.1,4,384,433
0.1,5,312,387
0.1,6,374,441
0.1,7,0,360
0.1,8,397,435
0.1,9,0,450
0.1,10,109,409
0.1,11,0,390
0.1,12,365,407
0.1,13,333,392
0.1,14,101,362
0.1,15,94,393
0.1,16,79,338
0.1,17,399,434
0.1,18,405,440
0.1,19,370,415
0.1,20,0,319
0.1,21,369,406
0.1,22,383,421
0.1,23,353,401
0.1,24,109,401
0.1,25,390,414
0.1,26,377,431
0.1,27,389,435
0.1,28,386,426
0.1,29,373,423
0.1,30,355,411
0.1,31,364,422
0.1,32,77,312
0.1,33,381,418
0.1,34,338,424
0.1,35,338,403
0.1,36,331,419
0.1,37,379,439
0.1,38,392,430
0.1,39,79,373
0.1,40,346,403
0.1,41,89,371
0.1,42,339,411
0.1,43,0,370
0.1,44,112,374
0.1,45,0,341
0.1,46,386,429
0.1,47,0,377
0.1,48,0,356
0.1,49,382,435
0.5,0,401,417
0.5,1,404,413
0.5,2,395,416
0.5,3,392,402
0.5,4,390,402
0.5,5,373,410
0.5,6,383,402
0.5,7,412,425
0.5,8,406,419
0.5,9,389,401
0.5,10,401,421
0.5,11,404,418
0.5,12,413,423
0.5,13,407,420
0.5,14,403,424
0.5,15,403,411
0.5,16,409,424
0.5,17,393,412
0.5,18,383,393
0.5,19,398,407
0.5,20,396,414
0.5,21,107,357
0.5,22,396,403
0.5,23,403,411
0.5,24,402,413
0.5,25,388,396
0.5,26,401,416
0.5,27,99,341
0.5,28,400,427
0.5,29,386,413
0.5,30,383,407
0.5,31,384,415
0.5,32,390,409
0.5,33,406,416
0.5,34,406,419
0.5,35,388,394
0.5,36,400,412
0.5,37,393,410
0.5,38,378,389
0.5,39,389,420
0.5,40,400,416
0.5,41,399,413
0.5,42,402,410
0.5,43,398,403
0.5,44,383,401
0.5,45,381,395
0.5,46,112,382
0.5,47,403,415
0.5,48,399,411
0.5,49,402,422
