,0.001,0.003,0.005,0.009
0,0,6,21,24
1,4,0,32,53
2,0,2,4,45
3,0,0,18,30
4,0,23,7,36
5,2,6,2,94
6,0,0,2,85
7,0,11,10,62
8,0,15,37,55
9,0,1,11,16
10,0,3,0,65
11,0,6,18,93
12,1,11,21,31
13,0,15,48,81
14,2,2,3,50
15,0,0,39,0
16,0,1,1,136
17,1,28,22,8
18,3,16,2,74
19,0,20,24,14
20,0,2,10,22
21,0,20,63,63
22,1,2,45,91
23,0,15,47,32
24,0,1,50,100
25,3,0,1,95
26,1,47,24,70
27,1,0,11,73
28,0,6,51,12
29,0,1,78,40
30,0,1,23,8
31,3,17,7,38
32,0,13,0,101
33,0,3,23,67
34,0,5,0,59
35,0,0,36,50
36,2,18,2,69
37,0,1,6,50
38,0,1,23,134
39,1,2,1,87
40,1,1,4,28
41,1,3,2,127
42,0,0,7,99
43,1,3,9,77
44,0,0,5,67
45,0,0,42,122
46,0,20,27,4
47,5,1,2,11
48,1,14,32,127
49,0,0,10,65
,0.68,7.26,19.26,60.8
