,0.001,0.003,0.005,0.009
0,0,4,42,79
1,1,9,27,37
2,1,2,43,4
3,0,4,8,9
4,1,1,9,36
5,1,0,47,10
6,0,2,4,54
7,0,1,2,40
8,0,2,13,56
9,0,0,21,12
10,2,15,46,81
11,1,7,25,102
12,1,19,38,34
13,2,0,11,94
14,0,13,42,140
15,0,11,29,137
16,0,13,19,57
17,1,0,1,91
18,0,7,58,76
19,0,24,3,23
20,2,12,6,89
21,0,2,17,40
22,0,14,19,129
23,0,2,18,107
24,1,23,0,19
25,4,0,17,74
26,0,1,16,50
27,0,26,41,36
28,0,13,2,24
29,0,2,8,46
30,1,1,50,96
31,0,6,24,51
32,0,7,28,11
33,6,0,22,26
34,2,13,54,65
35,1,1,40,86
36,6,0,34,16
37,1,0,2,91
38,1,1,15,126
39,1,9,26,86
40,0,10,13,99
41,0,4,17,115
42,1,0,30,153
43,1,0,1,12
44,0,8,33,29
45,2,1,27,43
46,0,0,10,63
47,0,2,46,60
48,0,18,2,115
49,0,1,40,146
,0.82,6.22,22.92,65.5
