prob_transmission,,HCW related infections,Cumulative Patients
1e-06,0,1,296
1e-06,1,0,337
1e-06,2,0,330
1e-06,3,0,286
1e-06,4,1,303
1e-06,5,0,295
1e-06,6,0,302
1e-06,7,0,291
1e-06,8,0,274
1e-06,9,0,347
1e-06,10,0,285
1e-06,11,0,317
1e-06,12,0,303
1e-06,13,0,285
1e-06,14,0,333
1e-06,15,0,336
1e-06,16,0,306
1e-06,17,0,302
1e-06,18,0,294
1e-06,19,1,315
1e-06,20,1,320
1e-06,21,0,290
1e-06,22,0,304
1e-06,23,0,310
1e-06,24,0,278
1e-06,25,0,332
1e-06,26,2,310
1e-06,27,1,308
1e-06,28,0,332
1e-06,29,0,285
1e-06,30,0,295
1e-06,31,0,283
1e-06,32,0,306
1e-06,33,0,296
1e-06,34,0,281
1e-06,35,1,330
1e-06,36,0,374
1e-06,37,0,355
1e-06,38,0,314
1e-06,39,0,318
1e-06,40,0,347
1e-06,41,0,317
1e-06,42,0,284
1e-06,43,0,318
1e-06,44,0,334
1e-06,45,0,349
1e-06,46,0,317
1e-06,47,0,337
1e-06,48,0,309
1e-06,49,0,378
1e-05,0,3,309
1e-05,1,1,289
1e-05,2,3,319
1e-05,3,0,308
1e-05,4,2,366
1e-05,5,1,291
1e-05,6,2,291
1e-05,7,1,275
1e-05,8,1,344
1e-05,9,1,314
1e-05,10,3,356
1e-05,11,2,295
1e-05,12,0,319
1e-05,13,0,330
1e-05,14,1,330
1e-05,15,1,277
1e-05,16,2,252
1e-05,17,1,301
1e-05,18,3,321
1e-05,19,1,324
1e-05,20,1,270
1e-05,21,1,300
1e-05,22,0,322
1e-05,23,1,320
1e-05,24,1,271
1e-05,25,0,296
1e-05,26,1,314
1e-05,27,1,299
1e-05,28,1,310
1e-05,29,1,298
1e-05,30,0,310
1e-05,31,3,285
1e-05,32,0,327
1e-05,33,0,333
1e-05,34,0,308
1e-05,35,0,363
1e-05,36,1,306
1e-05,37,0,306
1e-05,38,1,314
1e-05,39,2,370
1e-05,40,1,341
1e-05,41,2,315
1e-05,42,1,315
1e-05,43,0,317
1e-05,44,0,319
1e-05,45,1,330
1e-05,46,1,332
1e-05,47,2,336
1e-05,48,2,326
1e-05,49,2,317
0.0001,0,7,285
0.0001,1,8,323
0.0001,2,9,349
0.0001,3,14,319
0.0001,4,8,327
0.0001,5,12,358
0.0001,6,10,318
0.0001,7,6,339
0.0001,8,12,295
0.0001,9,7,313
0.0001,10,13,297
0.0001,11,13,334
0.0001,12,14,312
0.0001,13,10,295
0.0001,14,10,323
0.0001,15,14,318
0.0001,16,14,284
0.0001,17,2,315
0.0001,18,10,332
0.0001,19,9,312
0.0001,20,11,318
0.0001,21,10,363
0.0001,22,6,302
0.0001,23,11,314
0.0001,24,11,319
0.0001,25,9,303
0.0001,26,12,325
0.0001,27,6,287
0.0001,28,10,319
0.0001,29,7,312
0.0001,30,14,308
0.0001,31,6,341
0.0001,32,14,310
0.0001,33,11,310
0.0001,34,16,286
0.0001,35,11,305
0.0001,36,14,324
0.0001,37,17,355
0.0001,38,7,311
0.0001,39,7,345
0.0001,40,14,325
0.0001,41,9,357
0.0001,42,5,319
0.0001,43,8,295
0.0001,44,17,296
0.0001,45,12,301
0.0001,46,12,347
0.0001,47,16,268
0.0001,48,10,336
0.0001,49,8,301
0.001,0,69,277
0.001,1,77,298
0.001,2,69,326
0.001,3,70,280
0.001,4,77,296
0.001,5,60,251
0.001,6,72,304
0.001,7,65,278
0.001,8,65,292
0.001,9,68,320
0.001,10,76,302
0.001,11,77,285
0.001,12,63,254
0.001,13,71,300
0.001,14,57,314
0.001,15,78,341
0.001,16,64,281
0.001,17,67,291
0.001,18,68,284
0.001,19,71,288
0.001,20,72,273
0.001,21,71,331
0.001,22,70,268
0.001,23,66,297
0.001,24,62,289
0.001,25,72,298
0.001,26,80,298
0.001,27,72,281
0.001,28,67,315
0.001,29,69,280
0.001,30,73,291
0.001,31,63,313
0.001,32,71,308
0.001,33,70,283
0.001,34,77,299
0.001,35,62,266
0.001,36,67,311
0.001,37,80,310
0.001,38,70,289
0.001,39,72,316
0.001,40,77,294
0.001,41,74,296
0.001,42,61,267
0.001,43,72,312
0.001,44,68,275
0.001,45,67,279
0.001,46,73,298
0.001,47,72,314
0.001,48,57,308
0.001,49,67,297
