prob_transmission,,HCW related infections,Cumulative Patients
1e-06,0,2,279
1e-06,1,0,266
1e-06,2,0,304
1e-06,3,0,341
1e-06,4,0,284
1e-06,5,0,338
1e-06,6,0,276
1e-06,7,0,301
1e-06,8,0,282
1e-06,9,0,283
1e-06,10,0,289
1e-06,11,0,268
1e-06,12,0,336
1e-06,13,0,264
1e-06,14,0,327
1e-06,15,0,306
1e-06,16,0,271
1e-06,17,0,311
1e-06,18,0,286
1e-06,19,0,294
1e-06,20,0,278
1e-06,21,0,323
1e-06,22,0,299
1e-06,23,0,260
1e-06,24,0,296
1e-06,25,0,270
1e-06,26,0,284
1e-06,27,0,336
1e-06,28,0,276
1e-06,29,0,315
1e-06,30,1,278
1e-06,31,0,302
1e-06,32,0,306
1e-06,33,1,278
1e-06,34,0,284
1e-06,35,0,268
1e-06,36,0,304
1e-06,37,1,306
1e-06,38,0,267
1e-06,39,0,290
1e-06,40,0,279
1e-06,41,0,316
1e-06,42,1,234
1e-06,43,0,320
1e-06,44,0,300
1e-06,45,0,299
1e-06,46,0,292
1e-06,47,0,273
1e-06,48,0,254
1e-06,49,0,333
1e-05,0,2,276
1e-05,1,0,284
1e-05,2,0,279
1e-05,3,2,275
1e-05,4,0,266
1e-05,5,1,297
1e-05,6,1,257
1e-05,7,1,315
1e-05,8,3,281
1e-05,9,2,295
1e-05,10,2,285
1e-05,11,0,323
1e-05,12,0,272
1e-05,13,2,294
1e-05,14,0,284
1e-05,15,0,287
1e-05,16,0,287
1e-05,17,1,289
1e-05,18,2,293
1e-05,19,0,274
1e-05,20,0,318
1e-05,21,0,284
1e-05,22,1,285
1e-05,23,1,331
1e-05,24,0,300
1e-05,25,1,321
1e-05,26,1,328
1e-05,27,0,288
1e-05,28,1,304
1e-05,29,0,277
1e-05,30,3,288
1e-05,31,1,339
1e-05,32,1,243
1e-05,33,3,315
1e-05,34,0,300
1e-05,35,1,319
1e-05,36,1,319
1e-05,37,1,313
1e-05,38,0,324
1e-05,39,1,318
1e-05,40,3,306
1e-05,41,1,271
1e-05,42,0,268
1e-05,43,1,287
1e-05,44,1,267
1e-05,45,2,286
1e-05,46,0,279
1e-05,47,1,310
1e-05,48,1,340
1e-05,49,0,266
0.0001,0,8,322
0.0001,1,8,288
0.0001,2,11,259
0.0001,3,9,304
0.0001,4,9,281
0.0001,5,7,283
0.0001,6,8,317
0.0001,7,11,312
0.0001,8,10,274
0.0001,9,10,294
0.0001,10,10,308
0.0001,11,4,325
0.0001,12,12,268
0.0001,13,7,292
0.0001,14,10,276
0.0001,15,9,305
0.0001,16,12,316
0.0001,17,9,290
0.0001,18,6,299
0.0001,19,12,311
0.0001,20,15,282
0.0001,21,10,303
0.0001,22,6,288
0.0001,23,11,280
0.0001,24,12,305
0.0001,25,12,285
0.0001,26,14,287
0.0001,27,7,286
0.0001,28,13,304
0.0001,29,6,279
0.0001,30,9,293
0.0001,31,8,252
0.0001,32,11,286
0.0001,33,11,297
0.0001,34,9,292
0.0001,35,8,283
0.0001,36,11,252
0.0001,37,10,292
0.0001,38,8,306
0.0001,39,11,274
0.0001,40,12,274
0.0001,41,11,270
0.0001,42,10,252
0.0001,43,12,278
0.0001,44,6,307
0.0001,45,7,304
0.0001,46,8,253
0.0001,47,15,278
0.0001,48,10,282
0.0001,49,7,275
0.001,0,71,265
0.001,1,69,256
0.001,2,65,300
0.001,3,70,259
0.001,4,69,257
0.001,5,68,270
0.001,6,61,281
0.001,7,55,291
0.001,8,62,278
0.001,9,67,292
0.001,10,57,260
0.001,11,75,290
0.001,12,61,268
0.001,13,63,251
0.001,14,70,248
0.001,15,59,312
0.001,16,71,283
0.001,17,70,246
0.001,18,69,289
0.001,19,75,277
0.001,20,63,279
0.001,21,65,277
0.001,22,62,255
0.001,23,75,287
0.001,24,66,277
0.001,25,72,309
0.001,26,70,252
0.001,27,55,273
0.001,28,62,287
0.001,29,80,272
0.001,30,67,232
0.001,31,62,276
0.001,32,72,270
0.001,33,75,273
0.001,34,62,267
0.001,35,68,290
0.001,36,71,303
0.001,37,72,282
0.001,38,58,272
0.001,39,69,287
0.001,40,72,292
0.001,41,65,252
0.001,42,59,277
0.001,43,71,274
0.001,44,60,296
0.001,45,63,254
0.001,46,74,282
0.001,47,62,277
0.001,48,66,286
0.001,49,65,267
