,3,7,10
0,23,1,7
1,1,22,2
2,12,1,26
3,17,14,29
4,2,1,9
5,1,1,42
6,8,3,5
7,43,26,7
8,1,38,0
9,19,21,28
10,25,29,1
11,19,0,3
12,1,32,17
13,3,8,6
14,2,9,0
15,2,8,1
16,29,4,7
17,0,1,34
18,17,2,20
19,3,5,19
20,8,9,6
21,5,2,14
22,4,13,1
23,18,17,5
24,61,34,0
25,6,9,2
26,6,22,1
27,11,7,4
28,0,0,4
29,0,0,16
30,13,1,1
31,12,2,2
32,0,3,20
33,33,14,6
34,3,30,1
35,2,19,1
36,12,21,1
37,1,57,13
38,24,5,9
39,14,1,9
40,34,16,9
41,0,4,2
42,15,5,35
43,12,0,21
44,17,16,1
45,34,0,0
46,6,0,34
47,8,0,2
48,1,12,20
49,3,0,2
