,0.0035,0.004,0.0045
0,8,12,0
1,1,0,0
2,17,0,0
3,0,7,0
4,0,4,3
5,15,2,0
6,17,6,1
7,0,34,0
8,6,27,3
9,7,10,0
10,0,39,27
11,1,3,0
12,19,32,0
13,24,0,11
14,0,36,6
15,1,4,0
16,3,16,0
17,0,22,11
18,0,0,4
19,2,14,2
20,0,34,18
21,13,0,12
22,0,4,9
23,1,0,2
24,0,1,0
25,0,0,0
26,0,0,21
27,15,10,5
28,0,0,0
29,18,1,19
30,0,2,10
31,2,35,0
32,28,2,0
33,2,29,0
34,0,0,9
35,2,0,0
36,8,14,1
37,9,1,2
38,0,4,24
39,7,19,2
40,8,20,6
41,0,2,5
42,0,0,2
43,6,27,2
44,0,40,4
45,4,32,11
46,4,12,8
47,0,1,6
48,12,0,26
49,16,9,2
,5.52,11.34,5.48
