prob_transmission,,HCW related infections,Cumulative Patients
0.023,27,0,349
0.023,28,0,375
0.023,29,0,416
0.023,30,0,396
0.023,31,0,495
0.023,32,0,319
0.023,33,0,370
0.023,34,0,340
0.023,35,236,382
0.023,36,0,326
0.023,37,0,353
0.023,38,0,403
0.023,39,203,334
0.023,40,227,387
0.023,41,0,392
0.023,42,0,365
0.023,43,0,374
0.023,44,0,343
0.023,45,223,393
0.023,46,204,360
0.023,47,0,392
0.023,48,0,340
0.023,49,0,373
0.024,0,0,370
0.024,1,0,415
0.024,2,206,398
0.024,3,0,379
0.024,4,0,422
0.024,5,0,426
0.024,6,0,436
0.024,7,130,363
0.024,8,0,390
0.024,9,266,389
0.024,10,0,326
0.024,11,0,390
0.024,12,238,396
0.024,13,182,376
0.024,14,0,385
0.024,15,0,403
0.024,16,0,402
0.024,17,214,375
0.024,18,241,375
0.024,19,0,364
0.024,20,0,356
0.024,21,0,378
0.024,22,137,333
0.024,23,0,429
0.024,24,0,432
0.024,25,0,344
0.024,26,239,393
0.024,27,0,403
0.024,28,0,402
0.024,29,250,391
0.024,30,0,405
0.024,31,197,357
0.024,32,0,386
0.024,33,1,395
0.024,34,0,347
0.024,35,0,390
0.024,36,212,360
0.024,37,255,404
0.024,38,0,354
0.024,39,221,411
0.024,40,217,350
0.024,41,0,414
0.024,42,1,418
0.024,43,229,347
0.024,44,0,354
0.024,45,0,462
0.024,46,0,412
0.024,47,0,401
0.024,48,197,357
0.024,49,0,460
0.025,0,0,373
0.025,1,0,376
0.025,2,0,328
0.025,3,0,440
0.025,4,193,373
0.025,5,0,349
0.025,6,201,348
0.025,7,0,391
0.025,8,237,366
0.025,9,0,384
0.025,10,0,395
0.025,11,207,341
0.025,12,0,407
0.025,13,0,382
0.025,14,229,361
0.025,15,0,444
0.025,16,0,491
0.025,17,0,417
0.025,18,0,334
0.025,19,249,360
0.025,20,0,407
0.025,21,0,344
0.025,22,0,371
0.025,23,214,358
0.025,24,0,352
0.025,25,0,361
0.025,26,266,378
0.025,27,233,379
0.025,28,0,417
0.025,29,208,350
0.025,30,219,366
0.025,31,265,390
0.025,32,0,407
0.025,33,259,391
0.025,34,264,371
0.025,35,254,379
0.025,36,201,370
0.025,37,0,378
0.025,38,77,341
0.025,39,222,337
0.025,40,186,334
0.025,41,182,370
0.025,42,232,369
0.025,43,0,431
0.025,44,1,462
0.025,45,248,373
0.025,46,0,456
0.025,47,0,383
0.025,48,0,422
0.025,49,226,375
0.026,0,225,383
0.026,1,0,365
0.026,2,223,402
0.026,3,0,412
0.026,4,229,373
0.026,5,0,330
0.026,6,0,320
0.026,7,0,366
0.026,8,0,375
0.026,9,0,395
0.026,10,263,369
0.026,11,252,400
0.026,12,0,398
0.026,13,1,415
0.026,14,0,384
0.026,15,0,340
0.026,16,0,382
0.026,17,0,413
0.026,18,0,367
0.026,19,168,338
0.026,20,0,425
0.026,21,267,437
0.026,22,1,320
0.026,23,0,350
0.026,24,226,403
0.026,25,0,331
0.026,26,0,364
0.026,27,272,421
0.026,28,0,341
0.026,29,244,379
0.026,30,0,342
0.026,31,0,453
0.026,32,0,311
0.026,33,0,366
0.026,34,0,395
0.026,35,210,335
0.026,36,285,393
0.026,37,0,358
0.026,38,0,367
0.026,39,275,409
0.026,40,0,406
0.026,41,0,395
0.026,42,0,380
0.026,43,284,392
0.026,44,0,422
0.026,45,215,348
0.026,46,0,413
0.026,47,263,368
0.026,48,0,380
0.026,49,0,373
