prob_transmission,,HCW related infections,Cumulative Patients
0.02,0,0,412
0.02,1,0,369
0.02,2,0,312
0.02,3,0,332
0.02,4,222,389
0.02,5,235,384
0.02,6,0,362
0.02,7,0,412
0.02,8,220,380
0.02,9,0,387
0.02,10,195,370
0.02,11,0,424
0.02,12,0,374
0.02,13,256,401
0.02,14,0,434
0.02,15,282,431
0.02,16,0,407
0.02,17,0,317
0.02,18,0,407
0.02,19,125,310
0.02,20,0,356
0.02,21,211,356
0.02,22,0,377
0.02,23,0,379
0.02,24,0,340
0.02,25,0,340
0.02,26,0,401
0.02,27,0,421
0.02,28,0,398
0.02,29,0,425
0.02,30,0,399
0.02,31,227,394
0.02,32,0,406
0.02,33,0,413
0.02,34,0,366
0.02,35,0,397
0.02,36,0,422
0.02,37,219,350
0.02,38,1,376
0.02,39,238,425
0.02,40,218,346
0.02,41,0,363
0.02,42,0,384
0.02,43,185,411
0.02,44,0,387
0.02,45,0,424
0.02,46,0,326
0.02,47,1,389
0.02,48,1,427
0.02,49,1,408
0.021,0,0,394
0.021,1,0,369
0.021,2,200,391
0.021,3,230,367
0.021,4,250,442
0.021,5,0,452
0.021,6,196,371
0.021,7,0,430
0.021,8,0,395
0.021,9,0,413
0.021,10,0,411
0.021,11,0,428
0.021,12,219,381
0.021,13,0,393
0.021,14,219,409
0.021,15,0,395
0.021,16,0,384
0.021,17,0,337
0.021,18,232,365
0.021,19,0,317
0.021,20,0,409
0.021,21,91,377
0.021,22,192,381
0.021,23,218,403
0.021,24,0,331
0.021,25,198,412
0.021,26,0,368
0.021,27,0,352
0.021,28,0,397
0.021,29,0,353
0.021,30,252,384
0.021,31,0,380
0.021,32,240,382
0.021,33,157,375
0.021,34,0,419
0.021,35,0,450
0.021,36,0,399
0.021,37,0,363
0.021,38,260,398
0.021,39,206,351
0.021,40,0,374
0.021,41,0,389
0.021,42,0,342
0.021,43,0,427
0.021,44,0,396
0.021,45,169,378
0.021,46,0,328
0.021,47,0,380
0.021,48,0,449
0.021,49,143,365
0.022,0,0,436
0.022,1,0,388
0.022,2,0,363
0.022,3,0,335
0.022,4,0,368
0.022,5,0,381
0.022,6,0,445
0.022,7,0,381
0.022,8,264,390
0.022,9,157,389
0.022,10,1,471
0.022,11,1,418
0.022,12,0,371
0.022,13,0,417
0.022,14,231,375
0.022,15,0,443
0.022,16,0,450
0.022,17,0,416
0.022,18,0,381
0.022,19,267,401
0.022,20,148,337
0.022,21,1,380
0.022,22,224,381
0.022,23,0,402
0.022,24,0,450
0.022,25,0,422
0.022,26,0,393
0.022,27,0,294
0.022,28,0,469
0.022,29,233,406
0.022,30,1,423
0.022,31,246,386
0.022,32,0,361
0.022,33,0,335
0.022,34,0,429
0.022,35,236,407
0.022,36,0,357
0.022,37,0,404
0.022,38,0,416
0.022,39,184,390
0.022,40,0,395
0.022,41,157,432
0.022,42,0,385
0.022,43,0,333
0.022,44,191,356
0.022,45,165,378
0.022,46,0,411
0.022,47,172,398
0.022,48,0,415
0.022,49,0,363
0.023,0,0,480
0.023,1,0,403
0.023,2,0,367
0.023,3,1,392
0.023,4,0,369
0.023,5,0,441
0.023,6,218,362
0.023,7,0,454
0.023,8,0,370
0.023,9,0,344
0.023,10,196,340
0.023,11,0,388
0.023,12,0,397
0.023,13,0,512
0.023,14,0,393
0.023,15,205,394
0.023,16,0,355
0.023,17,0,394
0.023,18,282,402
0.023,19,1,415
0.023,20,0,368
0.023,21,0,386
0.023,22,184,363
0.023,23,272,403
0.023,24,280,432
0.023,25,0,372
0.023,26,0,439
