prob_transmission,,HCW related infections,Cumulative Patients
0.0002,0,14,285
0.0002,1,19,321
0.0002,2,16,397
0.0002,3,19,334
0.0002,4,20,303
0.0002,5,21,415
0.0002,6,25,384
0.0002,7,18,399
0.0002,8,25,451
0.0002,9,18,399
0.0002,10,16,432
0.0002,11,22,312
0.0002,12,18,429
0.0002,13,16,378
0.0002,14,20,423
0.0002,15,14,418
0.0002,16,21,345
0.0002,17,23,381
0.0002,18,21,387
0.0002,19,19,366
0.0002,20,22,353
0.0002,21,20,388
0.0002,22,25,395
0.0002,23,18,364
0.0002,24,17,358
0.0002,25,17,421
0.0002,26,14,344
0.0002,27,23,384
0.0002,28,15,417
0.0002,29,19,353
0.0002,30,26,347
0.0002,31,15,299
0.0002,32,17,415
0.0002,33,17,341
0.0002,34,18,378
0.0002,35,15,350
0.0002,36,24,347
0.0002,37,25,365
0.0002,38,26,361
0.0002,39,16,416
0.0002,40,14,400
0.0002,41,23,405
0.0002,42,24,428
0.0002,43,24,371
0.0002,44,23,311
0.0002,45,18,430
0.0002,46,21,401
0.0002,47,13,385
0.0002,48,19,345
0.0002,49,21,413
0.0003,0,23,384
0.0003,1,27,351
0.0003,2,27,347
0.0003,3,25,430
0.0003,4,34,369
0.0003,5,24,341
0.0003,6,30,405
0.0003,7,26,321
0.0003,8,25,342
0.0003,9,22,332
0.0003,10,21,336
0.0003,11,22,419
0.0003,12,29,361
0.0003,13,19,303
0.0003,14,24,377
0.0003,15,28,309
0.0003,16,31,342
0.0003,17,21,323
0.0003,18,29,355
0.0003,19,29,312
0.0003,20,26,297
0.0003,21,24,449
0.0003,22,24,423
0.0003,23,29,359
0.0003,24,22,358
0.0003,25,29,336
0.0003,26,18,324
0.0003,27,26,353
0.0003,28,28,550
0.0003,29,36,392
0.0003,30,28,401
0.0003,31,37,329
0.0003,32,26,308
0.0003,33,24,300
0.0003,34,23,359
0.0003,35,27,400
0.0003,36,25,411
0.0003,37,31,333
0.0003,38,26,421
0.0003,39,28,437
0.0003,40,24,339
0.0003,41,31,392
0.0003,42,28,403
0.0003,43,24,309
0.0003,44,30,417
0.0003,45,24,387
0.0003,46,25,325
0.0003,47,26,344
0.0003,48,28,356
0.0003,49,31,453
0.0004,0,38,338
0.0004,1,34,376
0.0004,2,27,383
0.0004,3,26,379
0.0004,4,29,387
0.0004,5,31,365
0.0004,6,26,369
0.0004,7,39,381
0.0004,8,26,294
0.0004,9,26,363
0.0004,10,36,387
0.0004,11,36,423
0.0004,12,32,472
0.0004,13,40,414
0.0004,14,32,397
0.0004,15,26,434
0.0004,16,34,363
0.0004,17,41,416
0.0004,18,33,420
0.0004,19,40,472
0.0004,20,34,381
0.0004,21,38,380
0.0004,22,34,399
0.0004,23,30,384
0.0004,24,42,412
0.0004,25,30,335
0.0004,26,35,392
0.0004,27,39,444
0.0004,28,40,478
0.0004,29,37,337
0.0004,30,30,269
0.0004,31,45,370
0.0004,32,30,309
0.0004,33,34,358
0.0004,34,44,381
0.0004,35,38,376
0.0004,36,30,455
0.0004,37,30,333
0.0004,38,31,451
0.0004,39,30,348
0.0004,40,39,328
0.0004,41,31,408
0.0004,42,31,335
0.0004,43,24,326
0.0004,44,30,313
0.0004,45,46,349
0.0004,46,25,398
0.0004,47,32,303
0.0004,48,32,284
0.0004,49,38,403
