prob_transmission,,HCW related infections,Cumulative Patients
0.02,0,71,285
0.02,1,40,332
0.02,2,0,359
0.02,3,277,461
0.02,4,79,342
0.02,5,0,390
0.02,6,120,384
0.02,7,0,358
0.02,8,0,343
0.02,9,0,268
0.02,10,227,411
0.02,11,60,394
0.02,12,205,435
0.02,13,45,342
0.02,14,11,423
0.02,15,1,364
0.02,16,96,316
0.02,17,231,403
0.02,18,125,387
0.02,19,0,423
0.02,20,0,384
0.02,21,144,431
0.02,22,0,371
0.02,23,0,425
0.02,24,109,401
0.02,25,57,415
0.02,26,156,342
0.02,27,0,412
0.02,28,163,377
0.02,29,38,415
0.02,30,6,299
0.02,31,1,366
0.02,32,33,360
0.02,33,69,413
0.02,34,189,373
0.02,35,0,407
0.02,36,249,406
0.02,37,224,485
0.02,38,234,446
0.02,39,52,328
0.02,40,49,398
0.02,41,246,458
0.02,42,204,418
0.02,43,52,410
0.02,44,73,369
0.02,45,0,382
0.02,46,33,327
0.02,47,0,380
0.02,48,208,410
0.02,49,102,409
0.021,0,0,422
0.021,1,88,328
0.021,2,213,404
0.021,3,0,295
0.021,4,0,330
0.021,5,0,363
0.021,6,52,356
0.021,7,0,323
0.021,8,151,362
0.021,9,234,398
0.021,10,0,501
0.021,11,37,410
0.021,12,55,380
0.021,13,0,449
0.021,14,0,350
0.021,15,225,406
0.021,16,31,350
0.021,17,20,404
0.021,18,125,339
0.021,19,156,320
0.021,20,4,328
0.021,21,78,372
0.021,22,0,371
0.021,23,0,380
0.021,24,156,354
0.021,25,42,355
0.021,26,12,349
0.021,27,51,322
0.021,28,92,356
0.021,29,232,449
0.021,30,0,417
0.021,31,120,358
0.021,32,2,354
0.021,33,109,358
0.021,34,109,312
0.021,35,66,359
0.021,36,0,373
0.021,37,0,447
0.021,38,92,397
0.021,39,243,401
0.021,40,1,382
0.021,41,0,416
0.021,42,81,310
0.021,43,132,332
0.021,44,51,393
0.021,45,62,318
0.021,46,136,401
0.021,47,101,403
0.021,48,0,375
0.021,49,0,341
0.022,0,34,339
0.022,1,32,309
