prob_transmission,,HCW related infections,Cumulative Patients
1e-06,0,1,332
1e-06,1,0,370
1e-06,2,0,317
1e-06,3,0,363
1e-06,4,0,355
1e-06,5,0,349
1e-06,6,0,365
1e-06,7,0,324
1e-06,8,0,372
1e-06,9,0,403
1e-06,10,1,347
1e-06,11,0,377
1e-06,12,0,337
1e-06,13,0,406
1e-06,14,0,387
1e-06,15,0,353
1e-06,16,0,339
1e-06,17,0,387
1e-06,18,0,338
1e-06,19,0,380
1e-06,20,0,356
1e-06,21,0,349
1e-06,22,0,380
1e-06,23,0,307
1e-06,24,1,325
1e-06,25,1,354
1e-06,26,0,324
1e-06,27,0,327
1e-06,28,0,328
1e-06,29,0,357
1e-06,30,0,321
1e-06,31,0,401
1e-06,32,0,337
1e-06,33,0,324
1e-06,34,0,335
1e-06,35,1,361
1e-06,36,1,367
1e-06,37,1,338
1e-06,38,1,338
1e-06,39,0,343
1e-06,40,0,334
1e-06,41,0,401
1e-06,42,0,311
1e-06,43,1,334
1e-06,44,0,353
1e-06,45,0,377
1e-06,46,0,385
1e-06,47,0,359
1e-06,48,0,383
1e-06,49,0,363
1e-05,0,0,318
1e-05,1,4,355
1e-05,2,2,307
1e-05,3,1,381
1e-05,4,2,317
1e-05,5,2,351
1e-05,6,1,339
1e-05,7,4,334
1e-05,8,1,330
1e-05,9,1,361
1e-05,10,2,370
1e-05,11,0,326
1e-05,12,3,335
1e-05,13,1,326
1e-05,14,1,352
1e-05,15,3,378
1e-05,16,2,332
1e-05,17,3,388
1e-05,18,0,354
1e-05,19,1,343
1e-05,20,2,341
1e-05,21,1,342
1e-05,22,1,338
1e-05,23,0,346
1e-05,24,1,373
1e-05,25,0,338
1e-05,26,1,311
1e-05,27,2,373
1e-05,28,1,315
1e-05,29,0,296
1e-05,30,0,380
1e-05,31,0,343
1e-05,32,5,363
1e-05,33,1,352
1e-05,34,0,348
1e-05,35,1,322
1e-05,36,2,381
1e-05,37,1,350
1e-05,38,2,356
1e-05,39,0,397
1e-05,40,1,349
1e-05,41,2,362
1e-05,42,0,353
1e-05,43,1,408
1e-05,44,0,389
1e-05,45,0,359
1e-05,46,0,382
1e-05,47,1,352
1e-05,48,0,317
1e-05,49,0,345
0.0001,0,11,391
0.0001,1,12,319
0.0001,2,14,353
0.0001,3,9,337
0.0001,4,9,341
0.0001,5,8,323
0.0001,6,12,333
0.0001,7,3,325
0.0001,8,12,361
0.0001,9,15,349
0.0001,10,7,360
0.0001,11,5,328
0.0001,12,9,347
0.0001,13,11,331
0.0001,14,5,402
0.0001,15,10,365
0.0001,16,7,318
0.0001,17,9,345
0.0001,18,10,349
0.0001,19,10,363
0.0001,20,7,390
0.0001,21,9,381
0.0001,22,10,394
0.0001,23,12,356
0.0001,24,12,367
0.0001,25,9,359
0.0001,26,8,346
0.0001,27,10,387
0.0001,28,9,376
0.0001,29,7,330
0.0001,30,7,358
0.0001,31,10,390
0.0001,32,6,294
0.0001,33,8,336
0.0001,34,12,390
0.0001,35,6,359
0.0001,36,8,317
0.0001,37,8,347
0.0001,38,7,320
0.0001,39,10,394
0.0001,40,7,375
0.0001,41,10,370
0.0001,42,6,354
0.0001,43,10,331
0.0001,44,15,366
0.0001,45,15,369
0.0001,46,7,358
0.0001,47,12,391
0.0001,48,11,385
0.0001,49,14,363
0.001,0,88,361
0.001,1,74,342
0.001,2,64,356
0.001,3,63,304
0.001,4,72,320
0.001,5,76,361
0.001,6,74,310
0.001,7,67,340
0.001,8,67,327
0.001,9,62,347
0.001,10,72,358
0.001,11,66,331
0.001,12,66,331
0.001,13,70,298
0.001,14,66,314
0.001,15,66,400
0.001,16,71,320
0.001,17,80,383
0.001,18,67,311
0.001,19,69,296
0.001,20,56,357
0.001,21,73,358
0.001,22,66,308
0.001,23,66,331
0.001,24,72,346
0.001,25,74,371
0.001,26,69,317
0.001,27,75,322
0.001,28,69,349
0.001,29,69,342
0.001,30,67,363
0.001,31,62,317
0.001,32,70,361
0.001,33,66,317
0.001,34,76,342
0.001,35,64,321
0.001,36,67,307
0.001,37,69,320
0.001,38,69,280
0.001,39,64,360
0.001,40,62,335
0.001,41,75,371
0.001,42,68,370
0.001,43,70,297
0.001,44,65,348
0.001,45,60,329
0.001,46,66,348
0.001,47,74,346
0.001,48,73,355
0.001,49,67,302
