,3,7,10
0,1,19,2
1,3,16,37
2,7,29,0
3,8,13,8
4,15,12,42
5,1,25,4
6,6,0,0
7,2,33,4
8,11,15,23
9,16,0,2
10,19,9,0
11,3,21,16
12,10,1,2
13,2,31,19
14,0,22,9
15,5,17,7
16,0,16,5
17,13,1,9
18,48,6,42
19,20,0,2
20,2,1,20
21,13,29,22
22,1,1,2
23,4,40,0
24,5,0,19
25,2,0,12
26,48,0,0
27,0,19,26
28,0,17,14
29,5,3,21
30,19,7,5
31,16,1,1
32,3,24,0
33,10,6,17
34,5,17,0
35,2,12,9
36,20,26,3
37,0,3,0
38,17,12,2
39,11,2,3
40,10,4,28
41,3,9,1
42,6,0,12
43,8,8,0
44,15,20,8
45,12,17,19
46,16,16,10
47,6,20,1
48,1,0,1
49,17,14,10
