prob_transmission,,HCW related infections,Cumulative Patients
1e-06,0,1,371
1e-06,1,1,349
1e-06,2,0,392
1e-06,3,0,431
1e-06,4,0,352
1e-06,5,0,327
1e-06,6,0,341
1e-06,7,0,345
1e-06,8,0,317
1e-06,9,0,282
1e-06,10,0,406
1e-06,11,1,327
1e-06,12,0,283
1e-06,13,0,379
1e-06,14,0,402
1e-06,15,0,304
1e-06,16,0,424
1e-06,17,0,410
1e-06,18,0,347
1e-06,19,0,403
1e-06,20,0,336
1e-06,21,0,370
1e-06,22,1,283
1e-06,23,0,307
1e-06,24,1,429
1e-06,25,1,427
1e-06,26,0,358
1e-06,27,0,337
1e-06,28,0,407
1e-06,29,0,361
1e-06,30,1,378
1e-06,31,0,327
1e-06,32,0,320
1e-06,33,0,332
1e-06,34,0,415
1e-06,35,0,395
1e-06,36,0,371
1e-06,37,0,318
1e-06,38,0,318
1e-06,39,0,431
1e-06,40,0,384
1e-06,41,0,399
1e-06,42,0,475
1e-06,43,0,361
1e-06,44,0,374
1e-06,45,1,444
1e-06,46,1,355
1e-06,47,0,362
1e-06,48,0,391
1e-06,49,0,355
1e-05,0,0,270
1e-05,1,1,332
1e-05,2,1,397
1e-05,3,3,274
1e-05,4,0,337
1e-05,5,0,335
1e-05,6,1,408
1e-05,7,1,367
1e-05,8,4,413
1e-05,9,1,368
1e-05,10,0,406
1e-05,11,1,418
1e-05,12,1,380
1e-05,13,0,457
1e-05,14,1,400
1e-05,15,2,291
1e-05,16,0,408
1e-05,17,0,416
1e-05,18,3,338
1e-05,19,0,351
1e-05,20,1,342
1e-05,21,0,479
1e-05,22,1,398
1e-05,23,2,335
1e-05,24,1,390
1e-05,25,0,436
1e-05,26,0,364
1e-05,27,1,404
1e-05,28,1,311
1e-05,29,2,410
1e-05,30,1,400
1e-05,31,1,404
1e-05,32,1,405
1e-05,33,2,462
1e-05,34,0,469
1e-05,35,1,324
1e-05,36,2,348
1e-05,37,1,339
1e-05,38,1,414
1e-05,39,0,305
1e-05,40,0,387
1e-05,41,2,412
1e-05,42,1,428
1e-05,43,0,360
1e-05,44,0,244
1e-05,45,0,289
1e-05,46,3,349
1e-05,47,1,368
1e-05,48,1,378
1e-05,49,1,268
0.0001,0,14,409
0.0001,1,11,420
0.0001,2,16,321
0.0001,3,11,328
0.0001,4,8,355
0.0001,5,12,357
0.0001,6,10,362
0.0001,7,10,363
0.0001,8,11,310
0.0001,9,9,362
0.0001,10,11,425
0.0001,11,10,349
0.0001,12,13,350
0.0001,13,12,370
0.0001,14,8,395
0.0001,15,7,371
0.0001,16,9,319
0.0001,17,4,339
0.0001,18,16,390
0.0001,19,11,371
0.0001,20,10,433
0.0001,21,11,394
0.0001,22,9,414
0.0001,23,9,324
0.0001,24,12,454
0.0001,25,7,314
0.0001,26,9,303
0.0001,27,11,402
0.0001,28,12,349
0.0001,29,9,341
0.0001,30,12,362
0.0001,31,11,384
0.0001,32,11,391
0.0001,33,5,379
0.0001,34,10,326
0.0001,35,15,371
0.0001,36,8,393
0.0001,37,14,350
0.0001,38,6,377
0.0001,39,6,347
0.0001,40,4,386
0.0001,41,15,268
0.0001,42,9,338
0.0001,43,12,350
0.0001,44,2,310
0.0001,45,14,294
0.0001,46,8,421
0.0001,47,12,399
0.0001,48,9,342
0.0001,49,11,365
0.001,0,74,368
0.001,1,59,393
0.001,2,68,353
0.001,3,59,393
0.001,4,71,421
0.001,5,76,460
0.001,6,67,349
0.001,7,52,327
0.001,8,67,454
0.001,9,64,395
0.001,10,58,354
0.001,11,61,320
0.001,12,61,347
0.001,13,57,347
0.001,14,66,309
0.001,15,51,323
0.001,16,60,400
0.001,17,73,400
0.001,18,57,379
0.001,19,63,396
0.001,20,61,355
0.001,21,68,362
0.001,22,63,425
0.001,23,64,423
0.001,24,77,449
0.001,25,72,441
0.001,26,67,435
0.001,27,58,392
0.001,28,60,350
0.001,29,68,406
0.001,30,71,416
0.001,31,66,347
0.001,32,77,442
0.001,33,60,374
0.001,34,68,360
0.001,35,61,370
0.001,36,63,360
0.001,37,58,360
0.001,38,65,425
0.001,39,50,342
0.001,40,51,369
0.001,41,60,371
0.001,42,63,447
0.001,43,60,360
0.001,44,54,309
0.001,45,79,447
0.001,46,62,388
0.001,47,69,453
0.001,48,70,444
0.001,49,52,325
