prob_transmission,,HCW related infections,Cumulative Patients
0.003,0,0,431
0.003,1,0,368
0.003,2,0,433
0.003,3,0,391
0.003,4,0,299
0.003,5,15,423
0.003,6,0,357
0.003,7,0,393
0.003,8,0,327
0.003,9,5,367
0.003,10,0,434
0.003,11,0,411
0.003,12,17,377
0.003,13,0,355
0.003,14,9,370
0.003,15,0,391
0.003,16,0,373
0.003,17,0,406
0.003,18,0,331
0.003,19,0,401
0.003,20,0,441
0.003,21,0,390
0.003,22,0,346
0.003,23,4,303
0.003,24,0,295
0.003,25,0,403
0.003,26,0,365
0.003,27,0,370
0.003,28,0,428
0.003,29,0,437
0.003,30,0,400
0.003,31,0,353
0.003,32,0,355
0.003,33,9,342
0.003,34,0,387
0.003,35,32,310
0.003,36,0,325
0.003,37,0,369
0.003,38,0,386
0.003,39,0,412
0.003,40,0,368
0.003,41,0,424
0.003,42,0,418
0.003,43,0,411
0.003,44,0,397
0.003,45,5,375
0.003,46,5,329
0.003,47,0,408
0.003,48,0,456
0.003,49,0,306
0.005,0,3,324
0.005,1,0,282
0.005,2,15,317
0.005,3,0,321
0.005,4,1,388
0.005,5,0,422
0.005,6,1,442
0.005,7,7,492
0.005,8,23,354
0.005,9,0,364
0.005,10,78,442
0.005,11,0,390
0.005,12,0,458
0.005,13,0,443
0.005,14,81,379
0.005,15,0,357
0.005,16,0,406
0.005,17,0,337
0.005,18,4,323
0.005,19,0,363
0.005,20,0,373
0.005,21,10,291
0.005,22,33,464
0.005,23,0,439
0.005,24,0,308
0.005,25,0,394
0.005,26,0,329
0.005,27,0,351
0.005,28,10,304
0.005,29,0,324
0.005,30,0,467
0.005,31,0,389
0.005,32,0,342
0.005,33,0,456
0.005,34,0,339
0.005,35,0,369
0.005,36,0,427
0.005,37,0,464
0.005,38,0,397
0.005,39,9,402
0.005,40,16,423
0.005,41,0,354
0.005,42,0,399
0.005,43,7,410
0.005,44,0,369
0.005,45,1,321
0.005,46,0,375
0.005,47,0,344
0.005,48,0,482
0.005,49,0,404
0.007,0,0,428
0.007,1,102,426
0.007,2,0,447
0.007,3,0,319
0.007,4,0,403
0.007,5,0,352
0.007,6,0,424
0.007,7,0,432
0.007,8,1,409
0.007,9,0,369
0.007,10,124,386
0.007,11,0,390
0.007,12,0,354
0.007,13,0,391
0.007,14,0,372
0.007,15,0,410
0.007,16,0,400
0.007,17,0,276
0.007,18,0,349
0.007,19,0,318
0.007,20,84,364
0.007,21,0,413
0.007,22,0,391
0.007,23,32,385
0.007,24,0,414
0.007,25,0,333
0.007,26,1,442
0.007,27,0,442
0.007,28,0,390
0.007,29,0,435
0.007,30,40,344
0.007,31,0,314
0.007,32,0,356
0.007,33,0,371
0.007,34,0,355
0.007,35,1,363
0.007,36,75,370
0.007,37,0,356
0.007,38,12,370
0.007,39,69,406
0.007,40,16,333
0.007,41,0,401
0.007,42,0,360
0.007,43,11,430
0.007,44,6,305
0.007,45,0,371
0.007,46,31,334
0.007,47,0,385
0.007,48,0,394
0.007,49,0,410
0.009,0,117,373
0.009,1,0,377
0.009,2,0,341
0.009,3,120,361
0.009,4,38,400
0.009,5,113,366
0.009,6,0,390
0.009,7,0,383
0.009,8,44,378
0.009,9,0,423
0.009,10,73,376
0.009,11,1,399
0.009,12,0,332
0.009,13,0,408
0.009,14,0,349
0.009,15,0,351
0.009,16,0,402
0.009,17,0,397
0.009,18,0,393
0.009,19,0,405
0.009,20,0,358
0.009,21,0,334
0.009,22,0,349
0.009,23,0,351
0.009,24,21,429
0.009,25,0,321
0.009,26,28,320
0.009,27,165,390
0.009,28,0,404
0.009,29,42,353
0.009,30,98,435
0.009,31,79,377
0.009,32,25,339
0.009,33,48,427
0.009,34,153,392
0.009,35,0,361
0.009,36,0,356
0.009,37,0,414
0.009,38,0,367
0.009,39,0,388
0.009,40,0,396
0.009,41,82,388
0.009,42,24,313
0.009,43,0,360
0.009,44,0,375
0.009,45,99,335
0.009,46,1,440
0.009,47,0,369
0.009,48,0,429
0.009,49,0,375
