,0.001,0.003,0.005,0.009
0,0,1,2,110
1,0,8,12,66
2,0,0,3,11
3,3,31,3,45
4,0,0,0,86
5,1,0,1,16
6,0,11,1,65
7,1,13,3,49
8,0,4,1,117
9,0,11,26,123
10,0,24,63,29
11,0,0,51,2
12,0,6,4,56
13,0,0,9,13
14,0,5,4,85
15,1,0,0,36
16,0,3,1,20
17,1,32,7,56
18,0,1,54,86
19,2,0,0,27
20,0,0,16,103
21,5,2,16,91
22,0,0,2,95
23,0,21,1,5
24,0,7,50,124
25,0,2,52,113
26,0,5,16,63
27,0,2,3,46
28,1,3,7,23
29,1,30,11,125
30,0,7,22,54
31,5,2,21,39
32,0,12,47,101
33,0,17,11,18
34,0,0,1,25
35,0,6,2,55
36,0,12,38,50
37,0,1,22,118
38,3,2,9,104
39,0,0,0,53
40,0,7,36,119
41,0,6,31,0
42,0,1,3,2
43,0,0,2,58
44,2,0,11,99
45,0,2,0,14
46,1,1,1,66
47,0,3,34,15
48,0,0,14,71
49,0,6,5,82
,0.54,6.14,14.58,60.58
