prob_transmission,,HCW related infections,Cumulative Patients
1e-06,0,0,410
1e-06,1,0,389
1e-06,2,0,364
1e-06,3,0,344
1e-06,4,0,384
1e-06,5,0,395
1e-06,6,0,380
1e-06,7,0,339
1e-06,8,0,372
1e-06,9,0,397
1e-06,10,0,319
1e-06,11,0,373
1e-06,12,0,399
1e-06,13,0,335
1e-06,14,0,342
1e-06,15,0,378
1e-06,16,0,370
1e-06,17,0,361
1e-06,18,0,349
1e-06,19,0,384
1e-06,20,0,402
1e-06,21,0,328
1e-06,22,1,392
1e-06,23,0,411
1e-06,24,0,357
1e-06,25,0,376
1e-06,26,0,370
1e-06,27,0,365
1e-06,28,0,402
1e-06,29,0,401
1e-06,30,0,358
1e-06,31,0,345
1e-06,32,0,336
1e-06,33,0,326
1e-06,34,0,335
1e-06,35,0,367
1e-06,36,0,381
1e-06,37,0,416
1e-06,38,0,333
1e-06,39,0,360
1e-06,40,0,375
1e-06,41,0,376
1e-06,42,0,392
1e-06,43,0,413
1e-06,44,0,372
1e-06,45,0,310
1e-06,46,0,329
1e-06,47,0,351
1e-06,48,0,319
1e-06,49,0,350
1e-05,0,0,358
1e-05,1,1,350
1e-05,2,4,367
1e-05,3,2,373
1e-05,4,1,388
1e-05,5,2,371
1e-05,6,2,338
1e-05,7,1,393
1e-05,8,3,411
1e-05,9,1,355
1e-05,10,0,338
1e-05,11,2,364
1e-05,12,0,373
1e-05,13,2,397
1e-05,14,0,397
1e-05,15,1,394
1e-05,16,0,307
1e-05,17,1,406
1e-05,18,1,424
1e-05,19,2,391
1e-05,20,2,425
1e-05,21,1,411
1e-05,22,3,408
1e-05,23,0,347
1e-05,24,3,342
1e-05,25,0,326
1e-05,26,1,356
1e-05,27,2,361
1e-05,28,0,347
1e-05,29,0,344
1e-05,30,0,320
1e-05,31,1,352
1e-05,32,0,404
1e-05,33,0,401
1e-05,34,2,438
1e-05,35,2,386
1e-05,36,4,338
1e-05,37,2,437
1e-05,38,1,353
1e-05,39,2,347
1e-05,40,2,441
1e-05,41,4,366
1e-05,42,2,363
1e-05,43,1,317
1e-05,44,1,359
1e-05,45,0,358
1e-05,46,2,336
1e-05,47,0,333
1e-05,48,0,351
1e-05,49,1,334
0.0001,0,10,364
0.0001,1,15,352
0.0001,2,9,337
0.0001,3,11,401
0.0001,4,11,364
0.0001,5,11,372
0.0001,6,14,348
0.0001,7,10,398
0.0001,8,14,398
0.0001,9,13,384
0.0001,10,13,397
0.0001,11,8,364
0.0001,12,16,379
0.0001,13,12,389
0.0001,14,10,308
0.0001,15,12,392
0.0001,16,14,430
0.0001,17,14,354
0.0001,18,10,380
0.0001,19,14,394
0.0001,20,12,425
0.0001,21,9,383
0.0001,22,16,353
0.0001,23,11,426
0.0001,24,9,346
0.0001,25,12,349
0.0001,26,13,410
0.0001,27,14,400
0.0001,28,7,346
0.0001,29,15,409
0.0001,30,11,359
0.0001,31,16,313
0.0001,32,7,332
0.0001,33,11,324
0.0001,34,12,335
0.0001,35,10,374
0.0001,36,13,365
0.0001,37,10,397
0.0001,38,9,400
0.0001,39,7,369
0.0001,40,10,359
0.0001,41,10,359
0.0001,42,15,397
0.0001,43,11,319
0.0001,44,10,371
0.0001,45,18,391
0.0001,46,8,375
0.0001,47,10,376
0.0001,48,10,338
0.0001,49,13,366
0.001,0,83,362
0.001,1,67,412
0.001,2,62,394
0.001,3,64,367
0.001,4,69,357
0.001,5,73,367
0.001,6,61,334
0.001,7,63,395
0.001,8,75,342
0.001,9,61,392
0.001,10,86,401
0.001,11,60,374
0.001,12,57,349
0.001,13,53,343
0.001,14,69,376
0.001,15,75,344
0.001,16,68,345
0.001,17,59,342
0.001,18,65,389
0.001,19,72,337
0.001,20,58,319
0.001,21,76,377
0.001,22,82,392
0.001,23,62,362
0.001,24,66,350
0.001,25,70,358
0.001,26,63,351
0.001,27,59,364
0.001,28,70,358
0.001,29,68,338
0.001,30,71,399
0.001,31,68,380
0.001,32,72,363
0.001,33,57,356
0.001,34,66,363
0.001,35,69,372
0.001,36,75,367
0.001,37,73,350
0.001,38,58,352
0.001,39,70,325
0.001,40,77,385
0.001,41,67,371
0.001,42,70,340
0.001,43,68,331
0.001,44,62,315
0.001,45,60,328
0.001,46,55,375
0.001,47,70,373
0.001,48,72,360
0.001,49,69,353
