,0.0035,0.004,0.0045
0,12,21,43
1,24,19,28
2,0,14,18
3,27,2,12
4,13,32,5
5,2,1,6
6,26,44,3
7,4,18,50
8,27,0,15
9,32,7,66
10,19,1,1
11,7,10,8
12,23,12,9
13,0,4,5
14,6,12,63
15,10,1,5
16,5,15,11
17,5,0,40
18,28,9,3
19,6,0,20
20,20,73,3
21,21,2,34
22,2,20,3
23,3,18,1
24,0,5,22
25,10,24,16
26,8,50,15
27,0,33,13
28,0,10,31
29,11,1,14
30,2,7,4
31,2,33,52
32,10,5,19
33,13,14,3
34,3,2,4
35,7,8,21
36,16,0,19
37,17,25,66
38,0,28,66
39,34,12,37
40,17,2,16
41,10,10,6
42,16,29,37
43,0,4,19
44,0,6,1
45,1,0,23
46,13,22,1
47,16,5,0
48,2,2,19
49,9,8,0
,10.78,13.6,19.52
