,0.007,0.008,0.009,0.01
0,0,0,21,0
1,0,0,0,104
2,0,0,0,152
3,0,0,10,0
4,0,0,0,0
5,71,0,0,0
6,0,0,111,0
7,1,0,0,0
8,0,0,0,86
9,1,1,19,0
10,0,0,0,179
11,23,0,0,102
12,0,0,0,0
13,0,0,1,0
14,0,12,0,0
15,0,0,0,102
16,0,0,0,1
17,2,0,0,0
18,0,0,0,0
19,0,0,0,121
20,0,0,0,0
21,74,74,0,0
22,0,0,0,0
23,0,0,186,0
24,0,0,0,0
25,0,0,0,0
26,0,78,0,0
27,0,0,95,0
28,0,0,0,0
29,1,0,0,0
30,0,0,30,0
31,0,13,0,0
32,0,0,0,0
33,0,1,0,0
34,0,0,70,37
35,0,1,0,0
36,0,0,0,0
37,0,0,1,32
38,0,0,0,0
39,0,0,28,95
40,0,0,52,0
41,0,0,0,0
42,0,0,0,0
43,0,0,125,0
44,1,0,1,0
45,0,0,0,28
46,0,1,0,0
47,0,0,0,0
48,0,1,1,0
49,0,54,0,1
