,0.001,0.003,0.005,0.009
0,1,3,40,92
1,6,12,18,73
2,1,15,8,114
3,0,23,4,63
4,5,12,0,14
5,0,7,31,117
6,0,22,11,73
7,0,18,1,106
8,0,1,83,54
9,0,0,9,1
10,2,1,55,116
11,0,0,15,44
12,0,22,32,127
13,5,1,28,52
14,0,1,36,142
15,0,1,9,83
16,4,3,25,21
17,1,2,23,95
18,1,28,7,76
19,0,3,63,73
20,1,14,56,76
21,2,9,50,116
22,0,14,2,12
23,0,9,21,77
24,1,8,29,78
25,0,11,32,114
26,1,1,22,66
27,4,12,1,67
28,0,4,0,49
29,1,24,12,37
30,0,1,40,108
31,1,0,0,84
32,5,9,29,124
33,2,6,4,57
34,0,16,27,12
35,1,4,4,71
36,0,15,1,84
37,1,0,28,131
38,0,13,78,87
39,1,4,30,82
40,4,11,14,134
41,0,13,0,36
42,0,11,18,10
43,0,8,6,60
44,1,0,1,85
45,2,0,6,8
46,2,1,76,51
47,0,7,26,62
48,0,18,19,56
49,0,6,4,97
,1.12,8.48,22.68,73.34
