prob_transmission,,HCW related infections,Cumulative Patients
0.0002,0,19,431
0.0002,1,17,356
0.0002,2,16,331
0.0002,3,18,393
0.0002,4,27,358
0.0002,5,14,379
0.0002,6,22,392
0.0002,7,18,410
0.0002,8,24,416
0.0002,9,29,421
0.0002,10,19,378
0.0002,11,27,400
0.0002,12,20,406
0.0002,13,21,337
0.0002,14,17,340
0.0002,15,23,404
0.0002,16,17,358
0.0002,17,13,362
0.0002,18,20,406
0.0002,19,18,342
0.0002,20,25,375
0.0002,21,16,388
0.0002,22,16,366
0.0002,23,15,379
0.0002,24,24,440
0.0002,25,28,446
0.0002,26,19,399
0.0002,27,14,371
0.0002,28,17,381
0.0002,29,17,374
0.0002,30,22,355
0.0002,31,20,434
0.0002,32,16,443
0.0002,33,16,386
0.0002,34,19,342
0.0002,35,15,469
0.0002,36,21,353
0.0002,37,24,418
0.0002,38,24,341
0.0002,39,18,383
0.0002,40,18,476
0.0002,41,18,331
0.0002,42,26,381
0.0002,43,13,380
0.0002,44,16,354
0.0002,45,21,343
0.0002,46,13,443
0.0002,47,23,456
0.0002,48,26,371
0.0002,49,23,390
0.0003,0,32,401
0.0003,1,28,390
0.0003,2,36,421
0.0003,3,23,357
0.0003,4,39,513
0.0003,5,31,370
0.0003,6,29,410
0.0003,7,24,317
0.0003,8,16,372
0.0003,9,27,413
0.0003,10,31,445
0.0003,11,25,309
0.0003,12,28,389
0.0003,13,31,308
0.0003,14,31,386
0.0003,15,34,434
0.0003,16,28,344
0.0003,17,29,428
0.0003,18,31,419
0.0003,19,27,433
0.0003,20,28,384
0.0003,21,36,379
0.0003,22,29,431
0.0003,23,21,463
0.0003,24,23,446
0.0003,25,34,384
0.0003,26,31,373
0.0003,27,28,320
0.0003,28,21,395
0.0003,29,22,336
0.0003,30,25,407
0.0003,31,30,374
0.0003,32,23,363
0.0003,33,28,367
0.0003,34,31,373
0.0003,35,26,391
0.0003,36,36,330
0.0003,37,31,432
0.0003,38,26,404
0.0003,39,36,367
0.0003,40,38,384
0.0003,41,30,364
0.0003,42,26,372
0.0003,43,24,360
0.0003,44,24,377
0.0003,45,35,398
0.0003,46,26,458
0.0003,47,24,355
0.0003,48,20,386
0.0003,49,25,374
0.0004,0,30,362
0.0004,1,33,435
0.0004,2,34,374
0.0004,3,34,340
0.0004,4,35,382
0.0004,5,33,442
0.0004,6,37,397
0.0004,7,28,395
0.0004,8,45,415
0.0004,9,32,439
0.0004,10,40,423
0.0004,11,41,342
0.0004,12,43,380
0.0004,13,38,402
0.0004,14,45,358
0.0004,15,45,468
0.0004,16,37,388
0.0004,17,38,372
0.0004,18,36,398
0.0004,19,34,438
0.0004,20,38,361
0.0004,21,40,337
0.0004,22,30,375
0.0004,23,42,317
0.0004,24,38,343
0.0004,25,35,360
0.0004,26,36,353
0.0004,27,26,401
0.0004,28,35,413
0.0004,29,41,343
0.0004,30,32,409
0.0004,31,40,352
0.0004,32,47,465
0.0004,33,33,296
0.0004,34,35,377
0.0004,35,34,463
0.0004,36,31,372
0.0004,37,38,425
0.0004,38,30,327
0.0004,39,33,413
0.0004,40,37,395
0.0004,41,39,457
0.0004,42,38,414
0.0004,43,43,403
0.0004,44,36,354
0.0004,45,32,383
0.0004,46,34,434
0.0004,47,37,405
0.0004,48,43,380
0.0004,49,32,409
