,30,90,180,360
279,2,2,3,8
280,0,2,13,10
281,2,1,5,13
282,1,2,3,12
283,4,2,5,8
284,0,2,2,12
285,1,3,6,10
286,0,4,4,7
287,0,1,8,9
288,0,6,7,6
289,0,7,6,11
290,0,5,3,15
291,2,1,4,12
292,1,3,3,10
293,1,1,5,7
294,2,4,2,9
295,1,3,6,9
296,1,1,6,12
297,1,1,3,13
298,1,2,5,21
299,0,3,6,18
300,3,3,3,9
301,0,4,3,9
302,0,3,6,8
303,1,1,4,4
304,1,4,8,5
305,0,2,5,6
306,0,4,4,10
307,0,6,6,6
308,1,1,7,11
309,1,1,3,7
310,1,3,2,11
311,1,3,4,11
312,0,1,4,9
313,0,5,6,8
314,0,2,4,9
315,0,0,4,11
316,2,2,4,15
317,3,5,2,9
318,1,3,5,6
319,2,2,7,10
320,0,2,2,10
321,1,4,4,10
322,2,2,7,6
323,1,3,5,10
324,0,1,3,6
325,2,4,5,12
326,1,3,9,11
327,1,3,6,12
328,1,4,2,9
329,3,3,7,14
330,4,2,5,17
331,2,2,4,9
332,4,3,3,11
333,2,2,5,5
334,0,3,7,10
335,1,1,8,13
336,0,3,4,11
337,1,0,4,11
338,1,2,3,7
339,2,1,5,16
340,1,2,6,9
341,0,4,9,16
342,3,5,4,2
343,0,2,4,15
344,0,1,6,9
345,0,1,4,6
346,1,3,3,11
347,1,1,4,13
348,2,3,1,7
349,0,1,11,12
350,0,1,2,16
351,0,1,7,16
352,1,2,1,9
353,0,3,6,10
354,2,6,5,14
355,0,2,7,12
356,0,6,6,8
357,1,4,4,9
358,0,2,6,12
359,0,2,6,12
360,0,2,3,13
361,1,1,7,7
362,1,0,10,9
363,2,3,5,12
364,1,4,3,14
365,1,2,4,9
366,1,3,6,12
367,1,2,4,10
368,1,2,8,11
369,0,2,7,12
370,4,2,6,7
371,1,0,7,11
372,2,3,3,15
373,1,2,4,18
374,1,4,4,10
375,0,4,3,13
376,0,1,4,7
377,0,3,5,7
378,0,2,8,12
379,0,6,7,9
380,0,3,1,9
381,0,4,10,16
382,2,1,7,5
383,0,2,7,12
384,0,2,3,16
385,0,1,3,10
386,1,5,2,13
387,1,5,9,4
388,0,1,5,12
389,1,4,1,13
390,1,3,5,15
391,0,4,9,12
392,2,2,3,9
393,0,2,6,9
394,2,2,3,8
395,1,1,3,12
396,2,4,5,11
397,0,5,5,10
398,0,2,5,11
399,1,2,3,18
400,0,2,6,12
401,1,2,8,9
402,0,4,9,14
403,2,3,4,13
404,1,2,6,14
405,0,6,8,12
406,1,8,4,8
407,1,2,6,11
408,0,2,8,4
409,2,0,1,1
410,1,2,4,14
411,0,1,2,18
412,2,3,10,11
413,2,6,5,10
414,0,2,7,10
415,0,2,10,12
416,1,7,5,9
417,1,2,4,7
418,2,3,7,9
419,0,3,3,14
420,2,1,2,6
421,0,3,4,8
422,0,6,0,7
423,0,2,3,12
424,1,1,5,13
425,0,1,2,10
426,0,5,5,8
427,0,3,6,12
428,1,5,4,17
429,2,1,5,12
430,0,6,5,11
431,0,2,3,8
432,1,3,5,15
433,0,4,5,5
434,1,2,7,11
435,3,5,6,11
436,2,2,6,9
437,2,4,7,6
438,2,5,7,17
439,3,4,3,8
440,1,4,6,9
441,0,1,7,15
442,0,5,4,11
443,2,2,6,18
444,3,0,8,9
445,2,1,5,6
446,1,2,7,11
447,0,0,3,10
448,1,4,5,12
449,1,1,1,9
450,1,3,2,11
451,1,4,4,7
452,1,2,2,13
453,1,1,4,10
454,1,2,10,17
455,1,1,5,7
456,0,4,9,15
457,0,3,5,10
458,0,5,9,10
459,0,2,2,9
460,2,2,0,9
461,1,2,8,8
462,0,6,4,8
463,2,1,5,8
464,1,2,3,12
465,1,6,8,12
466,1,0,5,12
467,0,0,6,18
468,1,2,4,6
469,0,4,3,5
470,1,2,6,11
471,0,0,4,11
472,0,1,9,7
473,2,2,3,10
474,1,6,7,9
475,2,2,5,8
476,0,4,7,10
477,2,2,5,8
478,1,3,6,11
479,0,4,5,11
480,1,2,3,11
481,1,3,4,9
482,1,4,5,9
483,0,1,4,13
484,1,2,4,5
485,0,2,6,11
486,1,7,7,8
487,1,2,7,11
488,0,5,4,11
489,1,2,6,6
490,0,6,5,6
491,3,2,4,13
492,3,0,1,15
493,1,2,3,17
494,0,4,2,14
495,0,5,2,15
496,0,6,6,13
497,0,2,2,10
498,1,4,4,14
499,1,4,5,12
