prob_transmission,,HCW related infections,Cumulative Patients
1e-06,0,0,365
1e-06,1,0,372
1e-06,2,0,360
1e-06,3,0,386
1e-06,4,0,314
1e-06,5,1,334
1e-06,6,0,384
1e-06,7,0,430
1e-06,8,1,364
1e-06,9,0,269
1e-06,10,0,375
1e-06,11,0,368
1e-06,12,0,403
1e-06,13,0,383
1e-06,14,0,387
1e-06,15,0,335
1e-06,16,0,410
1e-06,17,0,392
1e-06,18,0,446
1e-06,19,0,333
1e-06,20,0,333
1e-06,21,0,365
1e-06,22,0,371
1e-06,23,0,276
1e-06,24,0,445
1e-06,25,1,447
1e-06,26,0,357
1e-06,27,0,352
1e-06,28,0,391
1e-06,29,0,448
1e-06,30,0,436
1e-06,31,0,345
1e-06,32,0,328
1e-06,33,0,455
1e-06,34,1,337
1e-06,35,1,316
1e-06,36,0,271
1e-06,37,0,265
1e-06,38,0,383
1e-06,39,0,417
1e-06,40,0,357
1e-06,41,0,342
1e-06,42,0,330
1e-06,43,0,355
1e-06,44,0,354
1e-06,45,1,316
1e-06,46,0,361
1e-06,47,0,432
1e-06,48,0,376
1e-06,49,0,444
1e-05,0,1,339
1e-05,1,1,472
1e-05,2,3,369
1e-05,3,0,401
1e-05,4,0,348
1e-05,5,0,409
1e-05,6,1,325
1e-05,7,1,400
1e-05,8,0,411
1e-05,9,1,393
1e-05,10,0,349
1e-05,11,0,396
1e-05,12,1,340
1e-05,13,0,404
1e-05,14,0,316
1e-05,15,0,318
1e-05,16,0,398
1e-05,17,0,353
1e-05,18,0,391
1e-05,19,1,403
1e-05,20,1,373
1e-05,21,1,327
1e-05,22,1,419
1e-05,23,2,416
1e-05,24,1,346
1e-05,25,0,424
1e-05,26,1,371
1e-05,27,0,293
1e-05,28,1,409
1e-05,29,1,435
1e-05,30,2,457
1e-05,31,0,353
1e-05,32,2,474
1e-05,33,0,327
1e-05,34,0,393
1e-05,35,0,420
1e-05,36,1,370
1e-05,37,0,386
1e-05,38,1,315
1e-05,39,0,378
1e-05,40,0,414
1e-05,41,1,387
1e-05,42,3,421
1e-05,43,1,391
1e-05,44,0,389
1e-05,45,1,428
1e-05,46,0,415
1e-05,47,0,394
1e-05,48,1,408
1e-05,49,0,301
0.0001,0,8,334
0.0001,1,7,416
0.0001,2,16,393
0.0001,3,15,442
0.0001,4,7,416
0.0001,5,15,418
0.0001,6,9,346
0.0001,7,7,349
0.0001,8,12,372
0.0001,9,10,338
0.0001,10,13,337
0.0001,11,12,344
0.0001,12,10,412
0.0001,13,13,415
0.0001,14,13,272
0.0001,15,11,433
0.0001,16,15,324
0.0001,17,11,368
0.0001,18,14,357
0.0001,19,16,416
0.0001,20,15,449
0.0001,21,9,391
0.0001,22,9,482
0.0001,23,11,405
0.0001,24,13,403
0.0001,25,3,360
0.0001,26,13,335
0.0001,27,10,375
0.0001,28,6,380
0.0001,29,10,381
0.0001,30,10,353
0.0001,31,3,368
0.0001,32,12,371
0.0001,33,14,401
0.0001,34,7,356
0.0001,35,10,390
0.0001,36,11,361
0.0001,37,4,376
0.0001,38,11,378
0.0001,39,5,416
0.0001,40,9,360
0.0001,41,9,398
0.0001,42,10,364
0.0001,43,10,354
0.0001,44,10,367
0.0001,45,5,417
0.0001,46,14,335
0.0001,47,10,395
0.0001,48,14,303
0.0001,49,11,404
0.001,0,72,359
0.001,1,66,425
0.001,2,69,398
0.001,3,61,391
0.001,4,61,414
0.001,5,68,336
0.001,6,60,338
0.001,7,73,486
0.001,8,75,345
0.001,9,76,435
0.001,10,60,358
0.001,11,64,374
0.001,12,69,427
0.001,13,70,368
0.001,14,65,393
0.001,15,65,360
0.001,16,50,360
0.001,17,67,382
0.001,18,75,357
0.001,19,67,359
0.001,20,67,378
0.001,21,68,431
0.001,22,73,420
0.001,23,76,370
0.001,24,68,402
0.001,25,66,401
0.001,26,65,415
0.001,27,68,352
0.001,28,68,376
0.001,29,65,356
0.001,30,60,450
0.001,31,75,369
0.001,32,84,469
0.001,33,56,417
0.001,34,69,323
0.001,35,72,394
0.001,36,67,371
0.001,37,72,366
0.001,38,76,369
0.001,39,66,377
0.001,40,70,433
0.001,41,64,386
0.001,42,75,464
0.001,43,73,399
0.001,44,72,365
0.001,45,72,362
0.001,46,76,430
0.001,47,64,463
0.001,48,75,394
0.001,49,73,397
