,3,7,10,14
319,13,9,14,9
320,11,12,8,8
321,11,5,15,19
322,15,10,9,14
323,16,3,10,16
324,7,16,11,14
325,9,12,12,11
326,10,8,13,12
327,8,10,12,8
328,2,6,8,9
329,9,12,8,7
330,8,16,12,10
331,15,13,9,10
332,7,9,11,15
333,10,11,9,17
334,8,8,12,6
335,8,10,10,7
336,4,13,10,8
337,12,15,9,10
338,11,12,12,11
339,12,8,6,9
340,13,7,8,7
341,6,8,12,14
342,10,11,5,9
343,12,12,11,9
344,12,12,4,11
345,16,13,9,13
346,12,11,10,6
347,12,13,9,7
348,11,4,10,10
349,11,9,7,10
350,12,13,11,9
351,11,7,13,11
352,7,9,10,15
353,9,13,9,4
354,6,8,11,8
355,9,10,15,11
356,11,8,12,11
357,9,5,6,10
358,13,10,5,13
359,8,15,14,12
360,8,10,10,10
361,10,12,8,10
362,7,5,9,13
363,10,10,9,10
364,10,6,13,5
365,8,6,11,14
366,9,14,8,9
367,6,9,9,8
368,12,15,7,3
369,11,12,10,10
370,9,11,14,12
371,11,13,13,12
372,6,12,13,14
373,14,11,16,15
374,6,12,6,10
375,8,7,7,7
376,7,12,14,9
377,7,16,7,17
378,8,9,5,8
379,9,9,12,15
380,6,15,12,9
381,7,10,10,14
382,11,13,14,6
383,10,7,13,11
384,11,12,16,6
385,10,12,5,15
386,9,11,9,8
387,9,6,5,10
388,6,12,9,6
389,9,12,10,8
390,7,11,2,9
391,9,13,14,10
392,6,15,9,11
393,14,10,9,10
394,7,10,8,10
395,8,7,9,9
396,7,13,12,11
397,9,14,16,16
398,9,12,14,8
399,7,13,11,10
400,7,17,14,13
401,16,10,3,20
402,12,13,7,11
403,8,8,9,7
404,11,14,6,11
405,10,13,8,9
406,9,12,6,12
407,14,7,11,11
408,8,13,7,15
409,8,6,13,8
410,8,5,11,9
411,12,14,14,14
412,14,15,7,13
413,19,11,15,14
414,10,5,5,7
415,9,8,7,7
416,10,14,11,17
417,16,5,10,19
418,12,10,13,13
419,7,10,13,8
420,12,10,7,11
421,16,13,12,9
422,11,7,14,14
423,12,9,12,12
424,7,13,8,11
425,12,13,11,11
426,9,17,7,12
427,14,7,9,12
428,11,14,8,12
429,9,12,11,16
430,11,9,13,6
431,7,11,12,12
432,6,7,14,13
433,13,15,11,8
434,13,9,8,16
435,11,11,13,9
436,12,10,10,12
437,9,10,12,11
438,14,10,7,9
439,9,14,18,11
440,6,10,10,7
441,10,11,9,9
442,13,14,9,8
443,7,12,13,10
444,13,9,12,10
445,9,5,11,14
446,13,10,12,10
447,11,7,13,7
448,14,13,13,10
449,11,10,12,13
450,7,11,17,9
451,17,11,12,6
452,11,10,4,9
453,14,4,8,6
454,11,9,12,8
455,9,5,8,7
456,11,10,15,9
457,15,5,9,5
458,19,8,10,13
459,11,10,9,11
460,12,8,8,11
461,3,10,14,9
462,5,15,16,10
463,10,10,5,12
464,4,9,20,14
465,8,13,15,15
466,12,11,8,9
467,7,14,11,10
468,11,11,11,7
469,8,11,15,10
470,9,9,8,8
471,3,13,10,6
472,12,10,11,7
473,5,14,18,15
474,13,16,9,9
475,7,9,11,15
476,5,11,11,14
477,11,6,12,10
478,8,12,9,10
479,7,6,14,10
480,9,10,13,11
481,11,11,8,8
482,15,6,8,7
483,8,11,11,15
484,6,10,7,13
485,8,5,7,11
486,8,9,5,9
487,16,17,9,11
488,8,12,9,8
489,13,10,15,11
490,11,17,12,20
491,12,7,10,14
492,13,17,7,14
493,12,9,14,14
494,9,13,5,11
495,10,9,7,11
496,6,8,6,12
497,11,10,5,8
498,10,10,14,6
499,12,7,13,8
500,6,11,7,6
501,4,10,8,9
502,9,5,13,11
503,8,9,10,8
504,8,12,14,11
505,7,12,14,11
506,10,11,9,10
507,9,6,10,12
508,8,12,7,7
509,7,5,7,7
510,10,10,12,11
511,10,9,6,12
512,13,9,5,5
513,9,12,16,13
514,13,8,11,10
515,10,12,9,9
516,5,12,11,3
517,12,7,11,12
518,8,16,10,16
519,9,11,7,10
520,13,8,16,9
521,10,10,10,11
522,11,14,12,8
523,7,9,12,9
524,16,11,13,8
525,10,11,9,13
526,12,12,8,7
527,7,13,12,9
528,10,3,16,12
529,11,6,12,8
530,15,10,9,7
531,10,5,9,9
532,2,7,12,5
533,9,6,13,12
534,16,8,5,17
535,13,14,6,10
536,12,6,8,13
537,15,12,4,11
538,7,11,6,8
539,11,18,11,15
540,13,9,10,19
541,8,10,13,9
542,13,8,7,8
543,12,7,10,7
544,16,6,8,12
545,15,8,13,7
546,21,9,7,12
547,10,10,13,12
548,11,13,12,6
549,6,9,10,7
550,6,11,9,8
551,7,10,8,9
552,10,9,10,10
553,10,5,5,9
554,5,11,8,6
555,11,11,7,11
556,9,8,16,16
557,8,12,10,6
558,10,9,10,10
559,9,11,5,9
560,14,13,6,7
561,7,13,7,9
562,13,10,12,7
563,9,8,9,9
564,11,8,10,7
565,10,14,14,9
566,13,12,12,8
567,11,11,9,9
568,7,8,15,11
569,7,15,15,17
570,11,10,13,15
571,8,7,8,7
572,11,17,13,10
573,11,7,8,9
574,7,6,8,12
575,16,9,7,8
576,11,12,13,13
577,7,9,6,11
578,15,12,9,10
579,13,15,9,9
580,10,11,10,8
581,11,7,8,9
582,9,6,15,8
583,15,10,12,14
584,10,10,7,11
585,10,12,10,15
586,7,11,9,7
587,4,14,11,12
588,7,9,9,8
589,8,9,15,12
590,12,11,5,7
591,6,8,6,13
592,6,9,9,9
593,13,13,8,10
594,7,20,11,8
595,12,10,9,12
596,8,9,8,10
597,8,11,10,12
598,8,8,13,8
599,12,6,4,14
600,15,8,9,8
601,7,8,10,9
602,12,14,7,10
603,14,12,5,10
604,4,7,14,11
605,8,8,12,13
606,11,10,10,8
607,14,8,10,6
608,8,9,4,9
609,6,8,9,12
610,13,9,8,14
611,13,11,9,11
612,12,11,12,7
613,11,12,15,14
614,12,13,7,12
615,7,8,10,13
616,11,13,11,18
617,9,16,7,6
618,8,16,11,5
619,12,11,10,11
