,0.0035,0.004,0.0045
0,5,4,13
1,1,1,1
2,1,23,17
3,26,13,40
4,1,14,2
5,24,8,58
6,1,27,34
7,4,5,24
8,2,10,13
9,0,12,20
10,0,14,0
11,2,6,2
12,17,19,2
13,2,4,50
14,2,4,60
15,27,4,27
16,17,1,4
17,2,32,27
18,21,33,18
19,3,0,2
20,1,1,16
21,27,1,34
22,0,11,69
23,16,2,42
24,14,14,1
25,1,1,7
26,5,1,3
27,14,1,13
28,14,20,5
29,8,8,17
30,1,10,0
31,14,32,2
32,2,41,40
33,37,7,7
34,6,31,1
35,1,16,27
36,1,3,7
37,21,3,1
38,18,23,67
39,6,19,18
40,5,1,0
41,30,35,4
42,1,2,0
43,23,1,4
44,25,1,22
45,26,7,2
46,4,20,2
47,15,1,1
48,2,15,0
49,2,2,0
,9.96,11.28,16.52
