,icu_hcw_wash_rate,Run,HCW_related_infecs,Number_of_Patients_sick,prob_patient_sick,prob_new_patient,prob_transmission,isolation_factor,cleaningDay,isolate_sick,isolation_time,outside_hcw_wash_rate,height,width
38,0.8,38,14,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
39,0.8,39,10,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
40,0.8,40,11,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
41,0.8,41,12,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
42,0.8,42,17,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
43,0.8,43,17,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
44,0.8,44,22,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
45,0.8,45,18,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
46,0.8,46,11,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
47,0.8,47,14,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
48,0.8,48,12,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
49,0.8,49,12,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
50,0.9,50,13,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
51,0.9,51,14,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
52,0.9,52,9,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
53,0.9,53,16,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
54,0.9,54,11,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
55,0.9,55,14,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
56,0.9,56,5,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
57,0.9,57,12,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
58,0.9,58,9,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
59,0.9,59,13,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
60,0.9,60,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
61,0.9,61,8,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
62,0.9,62,12,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
63,0.9,63,16,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
64,0.9,64,8,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
65,0.9,65,18,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
66,0.9,66,12,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
67,0.9,67,4,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
68,0.9,68,7,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
69,0.9,69,13,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
70,0.9,70,9,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
71,0.9,71,13,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
72,0.9,72,11,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
73,0.9,73,15,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
74,0.9,74,9,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
75,0.9,75,12,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
76,0.9,76,11,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
77,0.9,77,12,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
78,0.9,78,4,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
79,0.9,79,8,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
80,0.9,80,11,7,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
81,0.9,81,5,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
82,0.9,82,6,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
83,0.9,83,9,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
84,0.9,84,6,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
85,0.9,85,9,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
86,0.9,86,10,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
87,0.9,87,13,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
88,0.9,88,14,6,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
89,0.9,89,8,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
90,0.9,90,9,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
91,0.9,91,13,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
92,0.9,92,10,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
93,0.9,93,8,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
94,0.9,94,12,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
95,0.9,95,6,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
96,0.9,96,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
97,0.9,97,12,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
98,0.9,98,4,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
99,0.9,99,10,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
100,0.95,100,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
101,0.95,101,8,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
102,0.95,102,10,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
103,0.95,103,13,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
104,0.95,104,8,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
105,0.95,105,7,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
106,0.95,106,16,6,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
107,0.95,107,4,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
108,0.95,108,11,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
109,0.95,109,15,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
110,0.95,110,7,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
111,0.95,111,8,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
112,0.95,112,10,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
113,0.95,113,6,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
114,0.95,114,6,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
115,0.95,115,7,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
116,0.95,116,14,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
117,0.95,117,11,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
118,0.95,118,7,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
119,0.95,119,5,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
120,0.95,120,12,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
121,0.95,121,6,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
122,0.95,122,8,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
123,0.95,123,9,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
124,0.95,124,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
125,0.95,125,5,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
126,0.95,126,10,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
127,0.95,127,13,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
128,0.95,128,7,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
129,0.95,129,5,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
130,0.95,130,12,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
131,0.95,131,10,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
132,0.95,132,12,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
133,0.95,133,9,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
134,0.95,134,8,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
135,0.95,135,9,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
136,0.95,136,12,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
137,0.95,137,8,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
138,0.95,138,9,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
139,0.95,139,11,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
140,0.95,140,6,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
141,0.95,141,10,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
142,0.95,142,6,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
143,0.95,143,4,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
144,0.95,144,11,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
145,0.95,145,6,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
146,0.95,146,9,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
147,0.95,147,3,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
148,0.95,148,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
149,0.95,149,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
150,0.99,150,5,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
151,0.99,151,5,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
152,0.99,152,14,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
153,0.99,153,8,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
154,0.99,154,6,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
